|name|party|location
0|Lee Richardson (until May 30, 2012)|Conservative|Calgary Centre
1|Michelle Rempel|Conservative|Calgary Centre-North
2|Deepak Obhrai|Conservative|Calgary East
3|Devinder Shory|Conservative|Calgary Northeast
4|Diane Ablonczy|Conservative|Calgary—Nose Hill
5|Jason Kenney|Conservative|Calgary Southeast
6|Stephen Harper|Conservative|Calgary Southwest
7|Rob Anders|Conservative|Calgary West
8|Kevin Sorenson|Conservative|Crowfoot
9|Laurie Hawn|Conservative|Edmonton Centre
10|Peter Goldring|Conservative|Edmonton East
11|James Rajotte|Conservative|Edmonton—Leduc
12|Mike Lake|Conservative|Edmonton—Mill Woods—Beaumont
13|Linda Duncan|NDP|Edmonton—Strathcona
14|Brent Rathgeber|Conservative|Edmonton—St. Albert
15|Tim Uppal|Conservative|Edmonton—Sherwood Park
16|Rona Ambrose|Conservative|Edmonton—Spruce Grove
17|Brian Jean (until January 17, 2014)|Conservative|Fort McMurray—Athabasca
18|Jim Hillyer|Conservative|Lethbridge
19|Ted Menzies (until November 6, 2013)|Conservative|Macleod
20|LaVar Payne|Conservative|Medicine Hat
21|Chris Warkentin|Conservative|Peace River
22|Earl Dreeshen|Conservative|Red Deer
23|Leon Benoit|Conservative|Vegreville—Wainwright
24|Brian Storseth|Conservative|Westlock—St. Paul
25|Blaine Calkins|Conservative|Wetaskiwin
26|Blake Richards|Conservative|Wild Rose
27|Rob Merrifield (until September 17, 2014)|Conservative|Yellowhead
28|Ed Fast|Conservative|Abbotsford
29|Alex Atamanenko|NDP|British Columbia Southern Interior
30|Kennedy Stewart|NDP|Burnaby—Douglas
31|Peter Julian|NDP|Burnaby—New Westminster
32|Richard Harris|Conservative|Cariboo—Prince George
33|Mark Strahl|Conservative|Chilliwack—Fraser Canyon
34|Kerry-Lynne Findlay|Conservative|Delta—Richmond East
35|Randall Garrison|NDP|Esquimalt—Juan de Fuca
36|Nina Grewal|Conservative|Fleetwood—Port Kells
37|Cathy McLeod|Conservative|Kamloops—Thompson—Cariboo
38|Ron Cannan|Conservative|Kelowna—Lake Country
39|David Wilks|Conservative|Kootenay—Columbia
40|Mark Warawa|Conservative|Langley
41|James Lunney|Conservative|Nanaimo—Alberni
42|Jean Crowder|NDP|Nanaimo—Cowichan
43|Fin Donnelly|NDP|New Westminster—Coquitlam
44|Jinny Sims|NDP|Newton—North Delta
45|Andrew Saxton|Conservative|North Vancouver
46|Dan Albas|Conservative|Okanagan—Coquihalla
47|Colin Mayes|Conservative|Okanagan—Shuswap
48|Randy Kamp|Conservative|Pitt Meadows—Maple Ridge—Mission
49|James Moore|Conservative|Port Moody—Westwood—Port Coquitlam
50|Bob Zimmer|Conservative|Prince George—Peace River
51|Alice Wong|Conservative|Richmond
52|Elizabeth May|Green|Saanich—Gulf Islands
53|Russ Hiebert|Conservative|South Surrey—White Rock—Cloverdale
54|Nathan Cullen|NDP|Skeena—Bulkley Valley
55|Jasbir Sandhu|NDP|Surrey North
56|Hedy Fry|Liberal|Vancouver Centre
57|Libby Davies|NDP|Vancouver East
58|John Duncan|Conservative|Vancouver Island North
59|Don Davies|NDP|Vancouver Kingsway
60|Joyce Murray|Liberal|Vancouver Quadra
61|Wai Young|Conservative|Vancouver South
62|Denise Savoie (until August 23, 2012)|NDP|Victoria
63|John Weston|Conservative|West Vancouver—Sunshine Coast—Sea to Sky Country
64|Merv Tweed (until August 31, 2013)|Conservative|Brandon—Souris
65|Steven Fletcher|Conservative|Charleswood—St. James—Assiniboia
66|Niki Ashton|NDP|Churchill
67|Robert Sopuck|Conservative|Dauphin—Swan River—Marquette
68|Lawrence Toet|Conservative|Elmwood—Transcona
69|Joy Smith|Conservative|Kildonan—St. Paul
70|Candice Bergen|Conservative|Portage—Lisgar
71|Vic Toews (until July 9, 2013)|Conservative|Provencher
72|Shelly Glover|Conservative|Saint Boniface
73|James Bezan|Conservative|Selkirk—Interlake
74|Pat Martin|NDP|Winnipeg Centre
75|Kevin Lamoureux|Liberal|Winnipeg North
76|Rod Bruinooge|Conservative|Winnipeg South
77|Joyce Bateman|Conservative|Winnipeg South Centre
78|Yvon Godin|NDP|Acadie—Bathurst
79|Dominic LeBlanc|Liberal|Beauséjour
80|Keith Ashfield|Conservative|Fredericton
81|Rob Moore|Conservative|Fundy Royal
82|Bernard Valcourt|Conservative|Madawaska—Restigouche
83|Tilly O'Neill-Gordon|Conservative|Miramichi
84|Robert Goguen|Conservative|Moncton—Riverview—Dieppe
85|John Williamson|Conservative|New Brunswick Southwest
86|Rodney Weston|Conservative|Saint John
87|Mike Allen|Conservative|Tobique—Mactaquac
88|Scott Andrews|Liberal|Avalon
89|Scott Simms|Liberal|Bonavista—Gander—Grand Falls—Windsor
90|Gerry Byrne|Liberal|Humber—St. Barbe—Baie Verte
91|Peter Penashue (until March 14, 2013)|Conservative|Labrador
92|Judy Foote|Liberal|Random—Burin—St. George's
93|Jack Harris|NDP|St. John's East
94|Ryan Cleary|NDP|St. John's South—Mount Pearl
95|Rodger Cuzner|Liberal|Cape Breton—Canso
96|Peter MacKay|Conservative|Central Nova
97|Scott Armstrong|Conservative|Cumberland—Colchester—Musquodoboit Valley
98|Robert Chisholm|NDP|Dartmouth—Cole Harbour
99|Megan Leslie|NDP|Halifax
100|Geoff Regan|Liberal|Halifax West
101|Scott Brison|Liberal|Kings—Hants
102|Peter Stoffer|NDP|Sackville—Eastern Shore
103|Gerald Keddy|Conservative|South Shore—St. Margaret's
104|Mark Eyking|Liberal|Sydney—Victoria
105|Greg Kerr|Conservative|West Nova
106|Chris Alexander|Conservative|Ajax—Pickering
107|Carol Hughes|NDP|Algoma—Manitoulin—Kapuskasing
108|David Sweet|Conservative|Ancaster—Dundas—Flamborough—Westdale
109|Patrick Brown (until May 13, 2015)|Conservative|Barrie
