|name|party|location
110|Matthew Kellway|NDP|Beaches—East York
111|Bal Gosal|Conservative|Bramalea—Gore—Malton
112|Parm Gill|Conservative|Brampton—Springdale
113|Kyle Seeback|Conservative|Brampton West
114|Phil McColeman|Conservative|Brant
115|Larry Miller|Conservative|Bruce—Grey—Owen Sound
116|Mike Wallace|Conservative|Burlington
117|Gary Goodyear|Conservative|Cambridge
118|Gordon O'Connor|Conservative|Carleton—Mississippi Mills
119|Dave Van Kesteren|Conservative|Chatham-Kent—Essex
120|Andrew Cash|NDP|Davenport
121|Joe Daniel|Conservative|Don Valley East
122|John Carmichael|Conservative|Don Valley West
123|David Tilson|Conservative|Dufferin—Caledon
124|Bev Oda (until July 31, 2012)|Conservative|Durham
125|Joe Oliver|Conservative|Eglinton—Lawrence
126|Joe Preston|Conservative|Elgin—Middlesex—London
127|Jeff Watson|Conservative|Essex
128|Ted Opitz|Conservative|Etobicoke Centre
129|Bernard Trottier|Conservative|Etobicoke—Lakeshore
130|Kirsty Duncan|Liberal|Etobicoke North
131|Pierre Lemieux|Conservative|Glengarry—Prescott—Russell
132|Frank Valeriote|Liberal|Guelph
133|Diane Finley|Conservative|Haldimand—Norfolk
134|Barry Devolin|Conservative|Haliburton—Kawartha Lakes—Brock
135|Lisa Raitt|Conservative|Halton
136|David Christopherson|NDP|Hamilton Centre
137|Wayne Marston|NDP|Hamilton East—Stoney Creek
138|Chris Charlton|NDP|Hamilton Mountain
139|Ben Lobb|Conservative|Huron—Bruce
140|Greg Rickford|Conservative|Kenora
141|Ted Hsu|Liberal|Kingston and the Islands
142|Stephen Woodworth|Conservative|Kitchener Centre
143|Harold Albrecht|Conservative|Kitchener—Conestoga
144|Peter Braid|Conservative|Kitchener—Waterloo
145|Bev Shipley|Conservative|Lambton—Kent—Middlesex
146|Scott Reid|Conservative|Lanark—Frontenac—Lennox and Addington
147|Gord Brown|Conservative|Leeds—Grenville
148|Irene Mathyssen|NDP|London—Fanshawe
149|Susan Truppe|Conservative|London North Centre
150|Ed Holder|Conservative|London West
151|John McCallum|Liberal|Markham—Unionville
152|Eve Adams|Conservative|Mississauga—Brampton South
153|Wladyslaw Lizon|Conservative|Mississauga East—Cooksville
154|Bob Dechert|Conservative|Mississauga—Erindale
155|Stella Ambler|Conservative|Mississauga South
156|Brad Butt|Conservative|Mississauga—Streetsville
157|Pierre Poilievre|Conservative|Nepean—Carleton
158|Lois Brown|Conservative|Newmarket—Aurora
159|Rob Nicholson|Conservative|Niagara Falls
160|Dean Allison|Conservative|Niagara West—Glanbrook
161|Claude Gravelle|NDP|Nickel Belt
162|Jay Aspin|Conservative|Nipissing—Timiskaming
163|Rick Norlock|Conservative|Northumberland—Quinte West
164|Terence Young|Conservative|Oakville
165|Paul Calandra|Conservative|Oak Ridges—Markham
166|Colin Carrie|Conservative|Oshawa
167|Paul Dewar|NDP|Ottawa Centre
168|Royal Galipeau|Conservative|Ottawa—Orléans
169|David McGuinty|Liberal|Ottawa South
170|Mauril Bélanger|Liberal|Ottawa—Vanier
171|John Baird (until March 16, 2015)|Conservative|Ottawa West—Nepean
172|Dave MacKenzie|Conservative|Oxford
173|Peggy Nash|NDP|Parkdale—High Park
174|Tony Clement|Conservative|Parry Sound—Muskoka
175|Gary Schellenberger|Conservative|Perth—Wellington
176|Dean Del Mastro (until November 5, 2014)|Conservative|Peterborough
177|Corneliu Chisu|Conservative|Pickering—Scarborough East
178|Daryl Kramp|Conservative|Prince Edward—Hastings
179|Cheryl Gallant|Conservative|Renfrew—Nipissing—Pembroke
180|Costas Menegakis|Conservative|Richmond Hill
181|Pat Davidson|Conservative|Sarnia—Lambton
182|Bryan Hayes|Conservative|Sault Ste. Marie
183|Jim Karygiannis (until April 1, 2014)|Liberal|Scarborough—Agincourt
184|Roxanne James|Conservative|Scarborough Centre
185|John McKay|Liberal|Scarborough—Guildwood
186|Dan Harris|NDP|Scarborough Southwest
187|Rathika Sitsabaiesan|NDP|Scarborough—Rouge River
188|Kellie Leitch|Conservative|Simcoe—Grey
189|Bruce Stanton|Conservative|Simcoe North
190|Rick Dykstra|Conservative|St. Catharines
191|Carolyn Bennett|Liberal|St. Paul's
192|Guy Lauzon|Conservative|Stormont—Dundas—South Glengarry
193|Glenn Thibeault (until January 5, 2015)|NDP|Sudbury
194|Peter Kent|Conservative|Thornhill
195|John Rafferty|NDP|Thunder Bay—Rainy River
196|Bruce Hyer|NDP|Thunder Bay—Superior North
197|Charlie Angus|NDP|Timmins—James Bay
198|Bob Raeh (until July 31, 2013)|Liberal|Toronto Centre
199|Jack Laytoni (until August 22, 2011)|NDP|Toronto—Danforth
200|Olivia Chow (until March 12, 2014)|NDP|Trinity—Spadina
201|Julian Fantino|Conservative|Vaughan
202|Malcolm Allen|NDP|Welland
203|Michael Chong|Conservative|Wellington—Halton Hills
204|Jim Flaherty (until April 10, 2014)|Conservative|Whitby—Oshawa
205|Chungsen Leung|Conservative|Willowdale
206|Joe Comartin|NDP|Windsor—Tecumseh
207|Brian Masse|NDP|Windsor West
208|Mark Adler|Conservative|York Centre
209|Peter Van Loan|Conservative|York—Simcoe
210|Mike Sullivan|NDP|York South—Weston
211|Judy Sgro|Liberal|York West
212|Lawrence MacAulay|Liberal|Cardigan
213|Sean Casey|Liberal|Charlottetown
214|Gail Shea|Conservative|Egmont
215|Wayne Easter|Liberal|Malpeque
216|Romeo Saganash|NDP|Abitibi—Baie-James—Nunavik—Eeyou
217|Christine Moore|NDP|Abitibi—Témiscamingue
218|Maria Mourani|Bloc Québécois|Ahuntsic
219|Rosane Doré Lefebvre|NDP|Alfred-Pellan
220|Mylène Freeman|NDP|Argenteuil—Papineau—Mirabel
221|Louis Plamondon|Bloc Québécois|Bas-Richelieu—Nicolet—Bécancour
222|Maxime Bernier|Conservative|Beauce
223|Anne Minh-Thu Quach|NDP|Beauharnois—Salaberry
224|Raymond Côté|NDP|Beauport—Limoilou
225|Ruth Ellen Brosseau|NDP|Berthier—Maskinongé
226|Denis Coderre (until June 2, 2013)|Liberal|Bourassa
227|Pierre Jacob|NDP|Brome—Missisquoi
228|Hoang Mai|NDP|Brossard—La Prairie
229|Matthew Dubé|NDP|Chambly—Borduas
230|Anne-Marie Day|NDP|Charlesbourg—Haute-Saint-Charles
231|Sylvain Chicoine|NDP|Châteauguay—Saint-Constant
232|Dany Morin|NDP|Chicoutimi—Le Fjord
233|Jean Rousseau|NDP|Compton—Stanstead
234|François Choquette|NDP|Drummond
235|Philip Toone|NDP|Gaspésie—Îles-de-la-Madeleine
236|Françoise Boivin|NDP|Gatineau
237|Jean-François Fortin|Bloc Québécois|Haute-Gaspésie—La Mitis—Matane—Matapédia
238|Marjolaine Boutin-Sweet|NDP|Hochelaga
239|Paulina Ayala|NDP|Honoré-Mercier
240|Nycole Turmell|NDP|Hull—Aylmer
241|Tyrone Benskin|NDP|Jeanne-Le Ber
242|Francine Raynault|NDP|Joliette
243|Claude Patry|NDP|Jonquière—Alma
244|Ève Péclet|NDP|La Pointe-de-l'Île
245|Francis Scarpaleggia|Liberal|Lac-Saint-Louis
246|Hélène LeBlanc|NDP|LaSalle—Émard
247|Marc-André Morin|NDP|Laurentides—Labelle
248|Hélène Laverdière|NDP|Laurier—Sainte-Marie
249|José Nunez-Melo|NDP|Laval
250|François Pilon|NDP|Laval—Les Îles
251|Steven Blaney|Conservative|Lévis—Bellechasse
252|Pierre Nantel|NDP|Longueuil—Pierre-Boucher
253|Jacques Gourde|Conservative|Lotbinière—Chutes-de-la-Chaudière
254|Denis Blanchette|NDP|Louis-Hébert
255|Alexandrine Latendresse|NDP|Louis-Saint-Laurent
256|Jonathan Genest-Jourdain|NDP|Manicouagan
257|Alain Giguère|NDP|Marc-Aurèle-Fortin
258|Christian Paradis|Conservative|Mégantic—L'Érable
259|Manon Perreault|NDP|Montcalm
260|François Lapointe|NDP|Montmagny—L'Islet—Kamouraska—Rivière-du-Loup
261|Jonathan Tremblay|NDP|Montmorency—Charlevoix—Haute-Côte-Nord
262|Irwin Cotler|Liberal|Mount Royal
263|Isabelle Morin|NDP|Notre-Dame-de-Grâce—Lachine
264|Thomas Mulcairo|NDP|Outremont
265|Justin Trudeaup|Liberal|Papineau
266|Lysane Blanchette-Lamothe|NDP|Pierrefonds—Dollard
267|Mathieu Ravignat|NDP|Pontiac
268|Élaine Michaud|NDP|Portneuf—Jacques-Cartier
269|Annick Papillon|NDP|Québec
270|Jean-François Larose|NDP|Repentigny
271|André Bellavance|Bloc Québécois|Richmond—Arthabaska
272|Guy Caron|NDP|Rimouski-Neigette—Témiscouata—Les Basques
273|Laurin Liu|NDP|Rivière-des-Mille-Îles
274|Pierre Dionne Labelle|NDP|Rivière-du-Nord
275|Denis Lebel|Conservative|Roberval—Lac-Saint-Jean
276|Alexandre Boulerice|NDP|Rosemont—La Petite-Patrie
277|Djaouida Sellah|NDP|Saint-Bruno—Saint-Hubert
278|Marie-Claude Morin|NDP|Saint-Hyacinthe—Bagot
279|Tarik Brahmi|NDP|Saint-Jean
280|Sadia Groguhé|NDP|Saint-Lambert
281|Stéphane Dion|Liberal|Saint-Laurent—Cartierville
282|Massimo Pacetti|Liberal|Saint-Léonard—Saint-Michel
283|Lise St-Denis|NDP|Saint-Maurice—Champlain
284|Réjean Genest|NDP|Shefford
285|Pierre-Luc Dusseault|NDP|Sherbrooke
286|Charmaine Borg|NDP|Terrebonne—Blainville
287|Robert Aubin|NDP|Trois-Rivières
288|Jamie Nicholls|NDP|Vaudreuil-Soulanges
289|Sana Hassainia|NDP|Verchères—Les Patriotes
290|Marc Garneau|Liberal|Westmount—Ville-Marie
291|Gerry Ritz|Conservative|Battlefords—Lloydminster
292|Lynne Yelich|Conservative|Blackstrap
293|David L. Anderson|Conservative|Cypress Hills—Grasslands
294|Rob Clarke|Conservative|Desnethé—Missinippi—Churchill River
295|Ray Boughen|Conservative|Palliser
296|Randy Hoback|Conservative|Prince Albert
297|Tom Lukiwski|Conservative|Regina—Lumsden—Lake Centre
298|Andrew Scheer|Conservative|Regina—Qu'Appelle
299|Brad Trost|Conservative|Saskatoon—Humboldt
300|Kelly Block|Conservative|Saskatoon—Rosetown—Biggar
301|Maurice Vellacott|Conservative|Saskatoon—Wanuskewin
302|Ed Komarnicki|Conservative|Souris—Moose Mountain
303|Ralph Goodale|Liberal|Wascana
304|Garry Breitkreuz|Conservative|Yorkton—Melville
305|Leona Aglukkaq|Conservative|Nunavut
306|Dennis Bevington|NDP|Northwest Territories (Western Arctic until 2014)
307|Ryan Leef|Conservative|Yukon
