|location|name|party
0|Bonavista—Trinity—Conception|Frank Moores|Progressive Conservative
1|Burin—Burgeo|Donald Jamieson|Liberal
2|Gander—Twillingate|John Lundrigan|Progressive Conservative
3|Grand Falls—White Bay—Labrador|Ambrose Peddle|Progressive Conservative
4|Humber—St. George's—St. Barbe|Jack Marshall|Progressive Conservative
5|St. John's East|James McGrath|Progressive Conservative
6|St. John's West|Walter Carter|Progressive Conservative
7|Cardigan|Melvin McQuaid|Progressive Conservative
8|Egmont|David MacDonald|Progressive Conservative
9|Hillsborough|Heath MacQuarrie|Progressive Conservative
10|Malpeque|John Angus MacLean|Progressive Conservative
11|Annapolis Valley|Pat Nowlan|Progressive Conservative
12|Cape Breton Highlands—Canso|Allan MacEachen|Liberal
13|Cape Breton—East Richmond|Donald MacInnis|Progressive Conservative
14|Cape Breton—The Sydneys|Robert Muir|Progressive Conservative
15|Central Nova|Howard Russell Macewan then Elmer MacKay*|Both Progressive Conservative
16|Cumberland—Colchester North|Robert Coates|Progressive Conservative
17|Dartmouth—Halifax East|Michael Forrestall|Progressive Conservative
18|Halifax|Robert Stanfield|Progressive Conservative
19|Halifax—East Hants|Robert Jardine McCleave|Progressive Conservative
20|South Shore|Lloyd Crouse|Progressive Conservative
21|South Western Nova|Louis-Roland Comeau|Progressive Conservative
22|Carleton—Charlotte|Hugh Flemming|Progressive Conservative
23|Fundy—Royal|Robert Fairweather|Progressive Conservative
24|Gloucester|Herb Breau|Liberal
25|Madawaska—Victoria|Eymard Corbin|Liberal
26|Moncton|Charlie Thomas|Progressive Conservative
27|Northumberland—Miramichi|Percy Smith|Liberal
28|Restigouche|Jean-Eudes Dubé|Liberal
29|Saint John—Lancaster|Thomas Miller Bell|Progressive Conservative
30|Westmorland—Kent|Guy F. Crossman|Liberal
31|York—Sunbury|John Chester MacRae|Progressive Conservative
32|Abitibi|Gérard Laprise|Ralliement Créditiste then Social Credit*
33|Ahuntsic|Jean-Léo Rochon|Liberal
34|Argenteuil|Robert Major|Liberal
35|Beauce|Romuald Rodrigue|Ralliement Créditiste then Social Credit*
36|Beauharnois|Gérald Laniel|Liberal
37|Bellechasse|Joseph Lambert|Ralliement Créditiste then Social Credit*
38|Berthier|Antonio Yanakis|Liberal
39|Bonaventure|Albert Béchard|Liberal
40|Bourassa|Jacques Trudel|Liberal
41|Chambly|Bernard Pilon then Yvon L'Heureux**|Both Liberal
42|Champlain|René Matte|Ralliement Créditiste then Social Credit*
43|Charlevoix|Martial Asselin|Progressive Conservative
44|Chicoutimi|Paul Langlois|Liberal
45|Compton|Henry Latulippe|Ralliement Créditiste then Social Credit*
46|Dollard|Jean-Pierre Goyer|Liberal
47|Drummond|Jean-Luc Pépin|Liberal
48|Duvernay|Eric Kierans|Liberal
49|Frontenac|Bernard Dumont then Léopold Corriveau***|Ralliement Créditiste then Liberal
50|Gamelin|Arthur Portelance|Liberal
51|Gaspé|Alexander Cyr|Liberal
52|Gatineau|Gaston Clermont|Liberal
53|Hochelaga|Gérard Pelletier|Liberal
54|Hull|Joseph Isabelle|Liberal
55|Joliette|Roch La Salle|Progressive Conservative then independent****
56|Kamouraska|Charles-Eugène Dionne|Ralliement Créditiste then Social Credit*
57|Labelle|Léo Cadieux then Maurice Dupras†|Liberal
58|Lapointe|Gilles Marceau|Liberal
59|La Prairie|Ian Watson|Liberal
60|Lac-Saint-Jean|Marcel Lessard|Liberal
61|Lachine—Lac-Saint-Louis|Raymond Rock|Liberal then Progressive Conservative††
62|Lafontaine|Georges-C. Lachance|Liberal
63|Langelier|Jean Marchand|Liberal
64|Lasalle|Pit Lessard|Liberal
65|Laurier|Fernand Leblanc|Liberal
66|Laval|Marcel-Claude Roy|Liberal
67|Lévis|Raynald Guay|Liberal
68|Longueuil|Jean-Pierre Côté|Liberal
