|name|location|party
72|Suzanne Duplessis|Progressive Conservative|Louis-Hébert
73|Brian Mulroney|Progressive Conservative|Manicouagan
74|Jean-Luc Joncas|Progressive Conservative|Matapédia—Matane
75|François Gérin|Progressive Conservative|Mégantic—Compton—Stanstead
76|Anne Blouin|Progressive Conservative|Montmorency—Orléans
77|Sheila Finestone|Liberal|Mount Royal
78|Carole Jacques|Progressive Conservative|Montreal—Mercier
79|Jean-Claude Malépart|Liberal Party|Montreal—Sainte-Marie
80|Warren Allmand|Liberal|Notre-Dame-de-Grâce
81|Lucie Pépin|Liberal|Outremont
82|André Ouellet|Liberal|Papineau
83|Barry Moore|Progressive Conservative|Pontiac—Gatineau—Labelle
84|Marc Ferland|Progressive Conservative|Portneuf
85|Marcel Tremblay|Progressive Conservative|Québec-Est
86|Louis Plamondon|Progressive Conservative|Richelieu
87|Alain Tardif|Liberal Party|Richmond
88|Monique Vézina|Progressive Conservative|Rimouski—Témiscouata
89|Benoît Bouchard|Progressive Conservative|Roberval
90|Suzanne Blais-Grenier**|Progressive Conservative|Rosemont
91|Marcel Prud'homme|Liberal|Saint-Denis
92|Don Johnston***|Liberal|Saint-Henri—Westmount
93|Andrée Champagne|Progressive Conservative|Saint-Hyacinthe
94|Jacques Guilbault|Liberal|Saint-Jacques
95|André Bissonnette|Progressive Conservative|Saint-Jean
96|Alfonso Gagliano|Liberal|Saint-Léonard—Anjou
97|Jean Chrétien|Liberal|Saint-Maurice—Champlain
98|Marie Thérèse Killens|Liberal|Saint-Michel—Ahuntsic
99|Jean Lapierre|Liberal|Shefford
100|Jean Charest|Progressive Conservative|Sherbrooke
101|Gabriel Desjardins|Progressive Conservative|Témiscamingue
102|Robert Toupin*****|Progressive Conservative|Terrebonne
103|Pierre H. Vincent|Progressive Conservative|Trois-Rivières
104|Pierre Cadieux|Progressive Conservative|Vaudreuil
105|Marcel Danis|Progressive Conservative|Verchères
106|Gilbert Chartrand|Progressive Conservative|Verdun—Saint-Paul
107|Maurice Foster|Liberal|Algoma
108|Neil Young|New Democrat|Beaches
109|John McDermid|Progressive Conservative|Brampton—Georgetown
110|Derek Blackburn|New Democrat|Brant
111|Lynn McDonald|New Democrat|Broadview—Greenwood
112|Gary Gurbin|Progressive Conservative|Bruce—Grey
113|Bill Kempling|Progressive Conservative|Burlington
114|Chris Speyer|Progressive Conservative|Cambridge
115|Keith Penner|Liberal|Cochrane
116|Charles Caccia|Liberal|Davenport
117|Bill Attewell|Progressive Conservative|Don Valley East
118|John Bosley|Progressive Conservative|Don Valley West
119|Allan Lawrence|Progressive Conservative|Durham—Northumberland
120|Roland de Corneille|Liberal|Eglinton—Lawrence
121|John Wise|Progressive Conservative|Elgin
122|Girve Fretz|Progressive Conservative|Erie
123|James Caldwell|Progressive Conservative|Essex—Kent
124|Steven W. Langdon|New Democrat|Essex—Windsor
125|Michael Wilson|Progressive Conservative|Etobicoke Centre
126|Robert Pennock|Progressive Conservative|Etobicoke North
127|Patrick Boyer|Progressive Conservative|Etobicoke—Lakeshore
128|Don Boudria|Liberal|Glengarry—Prescott—Russell
129|Gus Mitges|Progressive Conservative|Grey—Simcoe
130|William Winegard|Progressive Conservative|Guelph
131|Bud Bradley|Progressive Conservative|Haldimand—Norfolk
132|Otto Jelinek|Progressive Conservative|Halton
133|Sheila Copps|Liberal|Hamilton East
134|Ian Deans|New Democrat|Hamilton Mountain
135|Geoffrey Scott|Progressive Conservative|Hamilton—Wentworth
136|Peter Peterson|Progressive Conservative|Hamilton West
137|William Vankoughnet|Progressive Conservative|Hastings—Frontenac
138|Murray Cardiff|Progressive Conservative|Huron—Bruce
139|John Parry|New Democrat|Kenora—Rainy River
140|Elliott Hardey|Progressive Conservative|Kent
141|Flora MacDonald|Progressive Conservative|Kingston and the Islands
142|John Reimer|Progressive Conservative|Kitchener
143|Sidney Fraleigh|Progressive Conservative|Lambton—Middlesex
144|Paul Dick|Progressive Conservative|Lanark—Renfrew—Carleton
145|Jennifer Cossitt|Progressive Conservative|Leeds—Grenville
146|Shirley Martin|Progressive Conservative|Lincoln
147|Jim Jepson|Progressive Conservative|London East
148|Thomas Hockin|Progressive Conservative|London West
149|Terry Clifford|Progressive Conservative|London—Middlesex
150|Robert Horner|Progressive Conservative|Mississauga North
151|Donald Blenkarn|Progressive Conservative|Mississauga South
152|William Tupper|Progressive Conservative|Nepean—Carleton
153|Rob Nicholson|Progressive Conservative|Niagara Falls
154|John Rodriguez|New Democrat|Nickel Belt
155|Moe Mantha|Progressive Conservative|Nipissing
156|George Hees|Progressive Conservative|Northumberland
157|Thomas Fennell|Progressive Conservative|Ontario
158|Ed Broadbent|New Democrat|Oshawa
159|Barry Turner|Progressive Conservative|Ottawa—Carleton
160|Michael Cassidy|New Democrat|Ottawa Centre
161|David Daubney|Progressive Conservative|Ottawa West
162|Jean-Robert Gauthier|Liberal|Ottawa—Vanier
163|Bruce Halliday|Progressive Conservative|Oxford
164|Andrew Witer|Progressive Conservative|Parkdale—High Park
165|Stan Darling|Progressive Conservative|Parry Sound—Muskoka
166|Harry Brightwell|Progressive Conservative|Perth
167|Bill Domm|Progressive Conservative|Peterborough
168|Jack Ellis|Progressive Conservative|Prince Edward—Hastings
169|Len Hopkins|Liberal|Renfrew—Nipissing—Pembroke
170|David Crombie|Progressive Conservative|Rosedale
171|Kenneth James|Progressive Conservative|Sarnia
172|James Kelleher|Progressive Conservative|Sault Ste. Marie
173|Pauline Browes|Progressive Conservative|Scarborough Centre
174|Robert Hicks|Progressive Conservative|Scarborough East
175|Reginald Stackhouse|Progressive Conservative|Scarborough West
176|Doug Lewis|Progressive Conservative|Simcoe North
177|Ronald Stewart|Progressive Conservative|Simcoe South
178|Dan Heap|New Democrat|Spadina
179|Joseph Reid|Progressive Conservative|St. Catharines
180|Barbara McDougall|Progressive Conservative|St. Paul's
181|Norman Warner|Progressive Conservative|Stormont—Dundas
182|Douglas Frith|Liberal|Sudbury
183|Iain Angus|New Democrat|Thunder Bay—Atikokan
184|Ernie Epp|New Democrat|Thunder Bay—Nipigon
185|John MacDougall|Progressive Conservative|Timiskaming
186|Aurèle Gervais|Progressive Conservative|Timmins—Chapleau
187|Aideen Nicholson|Liberal|Trinity
188|William Scott|Progressive Conservative|Victoria—Haliburton
189|Walter McLean|Progressive Conservative|Waterloo
190|Allan Pietz|Progressive Conservative|Welland
191|Perrin Beatty|Progressive Conservative|Wellington—Dufferin—Simcoe
192|John Oostrom|Progressive Conservative|Willowdale
193|Herb Gray|Liberal|Windsor West
194|Howard McCurdy|New Democrat|Windsor—Walkerville
195|Bob Kaplan|Liberal|York Centre
196|Alan Redway|Progressive Conservative|York East
197|Tony Roman|Independent|York North
198|Paul McCrossan|Progressive Conservative|York—Scarborough
199|John Nunziata|Liberal|York South—Weston
