|name|party|location
0|Fabian Manning|Conservative|Avalon
1|Scott Simms|Liberal|Bonavista—Gander—Grand Falls—Windsor
2|Gerry Byrne|Liberal|Humber—St. Barbe—Baie Verte
3|Todd Russell|Liberal|Labrador
4|Bill Matthews|Liberal|Random—Burin—St. George's
5|Norman Doyle|Conservative|St. John's East
6|Loyola Hearn|Conservative|St. John's South—Mount Pearl
7|Rodger Cuzner|Liberal|Cape Breton—Canso
8|Peter MacKay|Conservative|Central Nova
9|Bill Casey|Conservative|Cumberland—Colchester—Musquodoboit Valley
10|Michael Savage|Liberal|Dartmouth—Cole Harbour
11|Alexa McDonough|New Democrat|Halifax
12|Geoff Regan|Liberal|Halifax West
13|Scott Brison|Liberal|Kings—Hants
14|Peter Stoffer|New Democrat|Sackville—Eastern Shore
15|Gerald Keddy|Conservative|South Shore—St. Margaret's
16|Mark Eyking|Liberal|Sydney—Victoria
17|Robert Thibault|Liberal|West Nova
18|Lawrence MacAulay|Liberal|Cardigan
19|Shawn Murphy|Liberal|Charlottetown
20|Joe McGuire|Liberal|Egmont
21|Wayne Easter|Liberal|Malpeque
22|Yvon Godin|New Democrat|Acadie—Bathurst
23|Dominic LeBlanc|Liberal|Beauséjour
24|Andy Scott|Liberal|Fredericton
25|Rob Moore|Conservative|Fundy Royal
26|Jean-Claude D'Amours|Liberal|Madawaska—Restigouche
27|Charles Hubbard|Liberal|Miramichi
28|Brian Murphy|Liberal|Moncton—Riverview—Dieppe
29|Greg Thompson|Conservative|New Brunswick Southwest
30|Paul Zed|Liberal|Saint John
31|Mike Allen|Conservative|Tobique—Mactaquac
32|Yvon Lévesque|Bloc Québécois|Abitibi—Baie-James—Nunavik—Eeyou
33|Marc Lemay|Bloc Québécois|Abitibi—Témiscamingue
34|Maria Mourani|Bloc Québécois|Ahuntsic
35|Robert Carrier|Bloc Québécois|Alfred-Pellan
36|Mario Laframboise|Bloc Québécois|Argenteuil—Papineau—Mirabel
37|Louis Plamondon|Bloc Québécois|Bas-Richelieu—Nicolet—Bécancour
38|Maxime Bernier|Conservative|Beauce
39|Claude DeBellefeuille|Bloc Québécois|Beauharnois—Salaberry
40|Sylvie Boucher|Conservative|Beauport—Limoilou
41|Guy André|Bloc Québécois|Berthier—Maskinongé
42|Denis Coderre|Liberal|Bourassa
43|Christian Ouellet|Bloc Québécois|Brome—Missisquoi
44|Marcel Lussier|Bloc Québécois|Brossard—La Prairie
45|Yves Lessard|Bloc Québécois|Chambly—Borduas
46|Daniel Petit|Conservative|Charlesbourg—Haute-Saint-Charles
47|Carole Freeman|Bloc Québécois|Châteauguay—Saint-Constant
48|Robert Bouchard|Bloc Québécois|Chicoutimi—Le Fjord
49|France Bonsant|Bloc Québécois|Compton—Stanstead
50|Pauline Picard|Bloc Québécois|Drummond
51|Raynald Blais|Bloc Québécois|Gaspésie—Îles-de-la-Madeleine
52|Richard Nadeau|Bloc Québécois|Gatineau
53|Jean-Yves Roy|Bloc Québécois|Haute-Gaspésie—La Mitis—Matane—Matapédia
54|Réal Ménard|Bloc Québécois|Hochelaga
55|Pablo Rodriguez|Liberal|Honoré-Mercier
