|location|name|party
0|Bonavista—Trinity—Conception|Dave Rooney|Liberal
1|Burin—Burgeo|Donald Jamieson|Liberal
2|Gander—Twillingate|George Baker|Liberal
3|Grand Falls—White Bay—Labrador|Bill Rompkey|Liberal
4|Humber—St. George's—St. Barbe|Jack Marshall|Progressive Conservative
5|St. John's East|James McGrath|Progressive Conservative
6|St. John's West|Walter Carter|Progressive Conservative
7|Cardigan|Daniel J. MacDonald|Liberal
8|Egmont|David MacDonald|Progressive Conservative
9|Hillsborough|Heath MacQuarrie|Progressive Conservative
10|Malpeque|John Angus MacLean|Progressive Conservative
11|Annapolis Valley|Pat Nowlan|Progressive Conservative
12|Cape Breton Highlands—Canso|Allan MacEachen|Liberal
13|Cape Breton—East Richmond|Andrew Hogan|New Democrat
14|Cape Breton—The Sydneys|Robert Muir|Progressive Conservative
15|Central Nova|Elmer MacKay|Progressive Conservative
16|Cumberland—Colchester North|Robert Coates|Progressive Conservative
17|Dartmouth—Halifax East|Michael Forrestall|Progressive Conservative
18|Halifax|Robert Stanfield|Progressive Conservative
19|Halifax—East Hants|Robert McCleave then Howard Crosby*|Both Progressive Conservative
20|South Shore|Lloyd Crouse|Progressive Conservative
21|South Western Nova|Coline Campbell|Liberal
22|Carleton—Charlotte|Fred McCain|Progressive Conservative
23|Fundy—Royal|Robert Fairweather the Robert Corbett*|Both Progressive Conservative
24|Gloucester|Herb Breau|Liberal
25|Madawaska—Victoria|Eymard Corbin|Liberal
26|Moncton|Leonard C. Jones|Independent
27|Northumberland—Miramichi|Maurice Dionne|Liberal
28|Restigouche|Jean-Eudes Dubé then Maurice Harquail**|Both Liberal
29|Saint John—Lancaster|Mike Landers|Liberal
30|Westmorland—Kent|Roméo LeBlanc|Liberal
31|York—Sunbury|J. Robert Howie|Progressive Conservative
32|Abitibi|Gérard Laprise|Social Credit
33|Ahuntsic|Jeanne Sauvé|Liberal
34|Argenteuil—Deux Montagnes|Francis Fox|Liberal
35|Beauce|Yves Caron|Liberal
36|Beauharnois—Salaberry|Gérald Laniel|Liberal
37|Bellechasse|Adrien Lambert|Social Credit
38|Berthier|Antonio Yanakis|Liberal
39|Brome—Missisquoi|Heward Grafftey|Progressive Conservative
40|Bonaventure—Îles-de-la-Madeleine|Albert Béchard|Liberal
41|Montreal—Bourassa|Jacques Trudel|Liberal
42|Chambly|Bernard Loiselle|Liberal
43|Champlain|René Matte|Social Credit then Independent
44|Charlevoix|Charles Lapointe|Liberal
45|Chicoutimi|Paul Langlois|Liberal
46|Compton|Claude Tessier|Liberal
47|Dollard|Jean-Pierre Goyer|Liberal
48|Drummond|Yvon Pinard|Liberal
49|Duvernay|Yves Demers|Liberal
50|Frontenac|Léopold Corriveau|Liberal
51|Gamelin|Arthur Portelance|Liberal
52|Gaspé|Alexander Cyr|Liberal
53|Gatineau|Gaston Clermont|Liberal
54|Hochelaga|Gérard Pelletier then Jacques Lavoie*|Liberal then Progressive Conservative then Liberal
55|Hull|Joseph Isabelle|Liberal
56|Joliette|Roch La Salle|Progressive Conservative
57|Kamouraska|Charles-Eugène Dionne|Social Credit
58|Labelle|Maurice Dupras|Liberal
59|Lac-Saint-Jean|Marcel Lessard|Liberal
60|Lachine—Lakeshore|Roderick Blaker|Liberal
61|Lafontaine|Claude-André Lachance|Liberal
62|Langelier|Jean Marchand then J. Gilles Lamontagne**|Both Liberal
63|Lapointe|Gilles Marceau|Liberal
64|La Prairie|Ian Watson|Liberal
65|Lasalle—Émard—Côte Saint-Paul|John Campbell|Liberal
66|Laurier|Fernand Leblanc|Liberal
67|Laval|Marcel-Claude Roy|Liberal
68|Lévis|Raynald Guay|Liberal
69|Longueuil|Joseph Mario Jacques Olivier|Liberal
70|Lotbiniere|André-Gilles Fortin then Richard Janelle***|Both Ralliement Créditiste
71|Louis-Hébert|Albanie Morin then Dennis Dawson†|Both Liberal
72|Maissonneuve—Rosemont|Serge Joyal|Liberal
73|Manicouagan|Gustave Blouin|Liberal
74|Matane|Pierre de Bané|Liberal
75|Mercier|Prosper Boulanger|Liberal
76|Montmorency|Louis Duclos|Liberal
77|Mount Royal|Pierre Trudeau|Liberal
78|Notre-Dame-de-Grâce|Warren Allmand|Liberal
79|Outremont|Marc Lalonde|Liberal
80|Papineau|André Ouellet|Liberal
81|Pontiac|Thomas Lefebvre|Liberal
82|Portneuf|Pierre Bussières|Liberal
83|Québec-Est|Gérard Duquet|Liberal
84|Richelieu|Florian Côté|Liberal
85|Richmond|Léonel Beaudoin|Social Credit
86|Rivière-du-Loup—Témiscouata|Rosaire Gendron|Liberal
87|Rimouski|Eudore Allard|Social Credit
88|Roberval|Charles-Arthur Gauthier|Social Credit
89|Saint-Denis|Marcel Prud'homme|Liberal
90|Saint-Henri|Gérard Loiselle|Liberal
91|Saint-Hyacinthe|Claude Wagner then Marcel Ostiguy††|Progressive Conservative then Liberal
92|Saint-Jacques|Jacques Guilbault|Liberal
93|Saint-Jean|Walter Smith|Liberal
94|Saint-Maurice|Jean Chrétien|Liberal
95|Saint-Michel|Monique Bégin|Liberal
96|Sainte-Marie|Raymond Dupont|Liberal
97|Shefford|Gilbert Rondeau|Social Credit then Independent
98|Sherbrooke|Irénée Pelletier|Liberal
99|Témiscamingue|Réal Caouette then Gilles Caouette†††|Both Ralliement Créditiste
100|Terrebonne|Joseph-Roland Comtois|Liberal
101|Trois-Rivières Métropolitain|Claude G. Lajoie|Liberal
102|Vaudreuil|Harold Herbert|Liberal
103|Verdun|Bryce Mackasey then Pierre Savard‡|Both Liberal
104|Villeneuve|Armand Caouette|Social Credit
105|Westmount|Bud Drury then Donald Johnston‡‡|Both Liberal
106|Algoma|Maurice Foster|Liberal
107|Brant|Derek Blackburn|New Democrat
108|Broadview|John Gilbert then Bob Rae*|Both New Democrat
109|Bruce|Crawford Douglas|Liberal
110|Cochrane|Ralph Stewart|Liberal then Progressive Conservative
111|Davenport|Charles Caccia|Liberal
112|Don Valley|James Gillies|Progressive Conservative
113|Eglinton|Mitchell Sharp then Rob Parker**|Liberal then Progressive Conservative
114|Elgin|John Wise|Progressive Conservative
115|Essex—Windsor|Eugene Whelan|Liberal
116|Etobicoke|Alastair Gillespie|Liberal
117|Fort William|Paul McRae|Liberal
118|Frontenac—Lennox and Addington|Douglas Alkenbrack|Progressive Conservative
119|Glengarry—Prescott—Russell|Denis Éthier|Liberal
120|Greenwood|Andrew Brewin|New Democrat
121|Grenville—Carleton|Walter Baker|Progressive Conservative
122|Grey—Simcoe|Gus Mitges|Progressive Conservative
123|Halton|Frank Philbrook|Liberal
124|Halton—Wentworth|Bill Kempling|Progressive Conservative
125|Hamilton East|John Munro|Liberal
126|Hamilton Mountain|Gus MacFarlane|Liberal
127|Hamilton—Wentworth|Sean O'Sullivan then Geoffrey Scott***|Both Progressive Conservative
128|Hamilton West|Lincoln Alexander|Progressive Conservative
129|Hastings|Jack Ellis|Progressive Conservative
130|High Park—Humber Valley|Otto Jelinek|Progressive Conservative
131|Huron—Middlesex|Robert McKinley|Progressive Conservative
132|Kenora—Rainy River|John Mercer Reid|Liberal
133|Kent—Essex|Robert Daudlin|Liberal
134|Kingston and the Islands|Flora MacDonald|Progressive Conservative
135|Kitchener|Patrick Flynn|Liberal
136|Lambton—Kent|John Holmes|Progressive Conservative
137|Lanark—Renfrew—Carleton|Paul Dick|Progressive Conservative
138|Leeds|Thomas Cossitt|Progressive Conservative
139|Lincoln|William Andres|Liberal
140|London East|Charles Turner|Liberal
141|London West|Judd Buchanan|Liberal
142|Middlesex—London—Lambton|Larry Condon|Liberal
143|Mississauga|Anthony Abbott|Liberal
144|Niagara Falls|Roger Carl Young|Liberal
145|Nickel Belt|John Rodriguez|New Democrat
146|Nipissing|Jean-Jacques Blais|Liberal
147|Norfolk—Haldimand|William David Knowles|Progressive Conservative
148|Northumberland—Durham|Allan Lawrence|Progressive Conservative
149|Ontario|Norman Cafik|Liberal
150|Oshawa—Whitby|Ed Broadbent|New Democrat
151|Ottawa—Carleton|John Turner then Jean Pigott†|Liberal then Progressive Conservative
152|Ottawa Centre|Hugh Poulin then Robert de Cotret††|Liberal then Progressive Conservative
153|Ottawa East|Jean-Robert Gauthier|Liberal
154|Ottawa West|Cyril Lloyd Francis|Liberal
155|Oxford|Bruce Halliday|Progressive Conservative
156|Parkdale|Stanley Haidasz then Yuri Shymko†††|Liberal then Progressive Conservative
157|Parry Sound—Muskoka|Stan Darling|Progressive Conservative
158|Peel—Dufferin—Simcoe|William Ross Milne|Liberal
159|Perth—Wilmot|William Jarvis|Progressive Conservative
160|Peterborough|Hugh Faulkner|Liberal
161|Port Arthur|Robert Andras|Liberal
162|Prince Edward—Hastings|George Hees|Progressive Conservative
163|Renfrew North—Nipissing East|Len Hopkins|Liberal
164|Rosedale|Donald Stovel Macdonald then David Crombie‡|Liberal then Progressive Conservative
165|Sarnia—Lambton|Bud Cullen|Liberal
166|Sault Ste. Marie|Cyril Symes|New Democrat
167|Scarborough East|Martin O'Connell|Liberal
168|Scarborough West|Alan Gray Martin|Liberal
169|Simcoe North|Philip Rynard|Progressive Conservative
170|Spadina|Peter Stollery|Liberal
171|St. Catharines|Gilbert Parent|Liberal
172|St. Paul's|John Roberts|Liberal
173|Stormont—Dundas|Ed Lumley|Liberal
174|Sudbury|James Jerome|Liberal
175|Thunder Bay|B. Keith Penner|Liberal
176|Timiskaming|Arnold Peters|New Democrat
177|Timmins|Jean Roy|Liberal
178|Toronto-Lakeshore|Ken Robinson|Liberal
179|Trinity|Aideen Nicholson|Liberal
180|Victoria—Haliburton|William Scott|Progressive Conservative
181|Waterloo—Cambridge|Max Saltsman|New Democrat
182|Welland|Victor Railton|Liberal
183|Wellington|Frank Maine|Liberal
184|Wellington—Grey—Dufferin—Waterloo|Perrin Beatty|Progressive Conservative
185|Windsor West|Herb Gray|Liberal
186|Windsor—Walkerville|Mark MacGuigan|Liberal
187|York Centre|Bob Kaplan|Liberal
188|York East|David Collenette|Liberal
189|York North|Barney Danson|Liberal
190|York—Scarborough|Robert Stanbury then Paul McCrossan‡‡|Liberal then Progressive Conservative
191|York—Simcoe|Sinclair Stevens|Progressive Conservative
192|York South|Ursula Appolloni|Liberal
193|York West|James Fleming|Liberal
194|Brandon—Souris|Walter Dinsdale|Progressive Conservative
195|Churchill|Cecil Smith|Progressive Conservative
196|Dauphin|William Gordon Ritchie|Progressive Conservative
197|Lisgar|Jack Murta|Progressive Conservative
198|Marquette|Craig Stewart|Progressive Conservative
199|Portage|Peter Masniuk|Progressive Conservative
200|Provencher|Jake Epp|Progressive Conservative
201|Selkirk|Dean Whiteway|Progressive Conservative
202|St. Boniface|Joseph-Phillippe Guay then Jack Hare*|Liberal then Progressive Conservative
203|Winnipeg North|David Orlikow|New Democrat
204|Winnipeg North Centre|Stanley Knowles|New Democrat
205|Winnipeg South|James Richardson|Liberal then Independent
206|Winnipeg South Centre|Dan McKenzie|Progressive Conservative
207|Assiniboia|Ralph Goodale|Liberal
208|Battleford—Kindersley|Joseph McIsaac|Liberal
209|Mackenzie|Stanley Korchinski|Progressive Conservative
210|Meadow Lake|Bert Cadieu|Progressive Conservative
211|Moose Jaw|Douglas Neil|Progressive Conservative
212|Prince Albert|John Diefenbaker|Progressive Conservative
