|name|party|location
89|Jim Carr|Liberal|Winnipeg South Centre
90|Serge Cormier|Liberal|Acadie—Bathurst
91|Dominic LeBlanc|Liberal|Beauséjour
92|Matt DeCourcey|Liberal|Fredericton
93|Alaina Lockhart|Liberal|Fundy Royal
94|René Arseneault|Liberal|Madawaska—Restigouche
95|Pat Finnigan|Liberal|Miramichi—Grand Lake
96|Ginette Petitpas Taylor|Liberal|Moncton—Riverview—Dieppe
97|Karen Ludwig|Liberal|New Brunswick Southwest
98|Wayne Long|Liberal|Saint John—Rothesay
99|T. J. Harvey|Liberal|Tobique—Mactaquac
100|Ken McDonald|Liberal|Avalon
101|Judy Foote (until September 30, 2017)|Liberal|Bonavista—Burin—Trinity
102|Scott Simms|Liberal|Coast of Bays—Central—Notre Dame
103|Yvonne Jones|Liberal|Labrador
104|Gudie Hutchings|Liberal|Long Range Mountains
105|Nick Whalen|Liberal|St. John's East
106|Seamus O'Regan|Liberal|St. John's South—Mount Pearl
107|Rodger Cuzner|Liberal|Cape Breton—Canso
108|Sean Fraser|Liberal|Central Nova
109|Bill Casey|Liberal|Cumberland—Colchester
110|Darren Fisher|Liberal|Dartmouth—Cole Harbour
111|Andy Fillmore|Liberal|Halifax
112|Geoff Regan (†)|Liberal|Halifax West
113|Scott Brison (until February 10, 2019)|Liberal|Kings—Hants
114|Darrell Samson|Liberal|Sackville—Preston—Chezzetcook
115|Bernadette Jordan|Liberal|South Shore—St. Margaret's
116|Mark Eyking|Liberal|Sydney—Victoria
117|Colin Fraser|Liberal|West Nova
118|Mark Holland|Liberal|Ajax
119|Carol Hughes|NDP|Algoma—Manitoulin—Kapuskasing
120|Leona Alleslev|Liberal|Aurora—Oak Ridges—Richmond Hill
121|John Brassard|Conservative|Barrie—Innisfil
122|Alex Nuttall|Conservative|Barrie—Springwater—Oro-Medonte
123|Neil Ellis|Liberal|Bay of Quinte
124|Nathaniel Erskine-Smith|Liberal|Beaches—East York
125|Ramesh Sangha|Liberal|Brampton Centre
126|Raj Grewal|Liberal|Brampton East
127|Ruby Sahota|Liberal|Brampton North
128|Sonia Sidhu|Liberal|Brampton South
129|Kamal Khera|Liberal|Brampton West
130|Phil McColeman|Conservative|Brantford—Brant
131|Larry Miller|Conservative|Bruce—Grey—Owen Sound
132|Karina Gould|Liberal|Burlington
133|Bryan May|Liberal|Cambridge
134|Pierre Poilievre|Conservative|Carleton
135|Dave Van Kesteren|Conservative|Chatham-Kent—Leamington
136|Julie Dzerowicz|Liberal|Davenport
137|Yasmin Ratansi|Liberal|Don Valley East
138|Geng Tan|Liberal|Don Valley North
139|Rob Oliphant|Liberal|Don Valley West
140|David Tilson|Conservative|Dufferin—Caledon
141|Erin O'Toole|Conservative|Durham
142|Marco Mendicino|Liberal|Eglinton—Lawrence
143|Karen Vecchio|Conservative|Elgin—Middlesex—London
144|Tracey Ramsey|NDP|Essex
145|Borys Wrzesnewskyj|Liberal|Etobicoke Centre
146|James Maloney|Liberal|Etobicoke—Lakeshore
147|Kirsty Duncan|Liberal|Etobicoke North
148|David Sweet|Conservative|Flamborough—Glanbrook
149|Francis Drouin|Liberal|Glengarry—Prescott—Russell
150|Lloyd Longfield|Liberal|Guelph
151|Diane Finley|Conservative|Haldimand—Norfolk
152|Jamie Schmale|Conservative|Haliburton—Kawartha Lakes—Brock
153|David Christopherson|NDP|Hamilton Centre
154|Bob Bratina|Liberal|Hamilton East—Stoney Creek
155|Scott Duvall|NDP|Hamilton Mountain
156|Filomena Tassi|Liberal|Hamilton West—Ancaster—Dundas
157|Mike Bossio|Liberal|Hastings—Lennox and Addington
158|Judy Sgro|Liberal|Humber River—Black Creek
159|Ben Lobb|Conservative|Huron—Bruce
160|Karen McCrimmon|Liberal|Kanata—Carleton
161|Bob Nault|Liberal|Kenora
162|Deb Schulte|Liberal|King—Vaughan
