|location|name|party
0||Victor Quelch|Social Credit
1||Percy John Rowe|Social Credit
2||Robert Fair|Social Credit
3||Charles Edward Johnston|Social Credit
4||John Landeryou|Social Credit
5||Richard Bedford Bennett (resigned 28 January 1939)|Conservative
6||James Alexander Marshall|Social Credit
7||William Samuel Hall (died 26 January 1938)|Social Credit
8||James Angus MacKinnon|Liberal
9||Walter Frederick Kuhl|Social Credit
10||John Horne Blackmore|Social Credit
11||Ernest George Hansell|Social Credit
12||Archibald Hugh Mitchell|Social Credit
13||René-Antoine Pelletier|Social Credit
14||Eric Joseph Poole|Social Credit
15||William Hayhurst|Social Credit
16||Norman Jaques|Social Credit
17||James Gray Turgeon|Liberal
18||Alan Webster Neill|Independent
19||Harry James Barber|Conservative
20||Thomas O'Neill|Liberal
21||Henry Herbert Stevens|Reconstruction
22||William Esling|Conservative
23||James Samuel Taylor|C.C.F.
24||Thomas Reid|Liberal
25||Olof Hanson|Liberal
26||Gerry McGeer|Liberal
27||Ian Alistair Mackenzie|Liberal
28||Angus MacInnis|C.C.F.
29||Charles Grant MacNeil|C.C.F.
30||Howard Charles Green|Conservative
31||D'Arcy Plunkett (died 3 May 1936)|Conservative
32||Grote Stirling|Conservative
33||David Wilson Beaubier (died 1 September 1938)|Conservative
34||Thomas Crerar|Liberal
35||William John Ward|Liberal
36||Howard Winkler|Liberal
37||William Gilbert Weir|Liberal-Progressive
38||James Allison Glen|Liberal-Progressive
39||Frederick Donald Mackenzie|Liberal
40||Harry Leader|Liberal
41||Arthur-Lucien Beaubien|Liberal
42||Joseph Thorarinn Thorson|Liberal-Progressive
43||George William McDonald|Liberal-Progressive
44||John Mouat Turner|Liberal
45||John Power Howden|Liberal
46||Abraham Albert Heaps|C.C.F.
47||James Shaver Woodsworth|C.C.F.
48||Leslie Mutch|Liberal
49||Ralph Maybank|Liberal
50||Burton Hill|Liberal
51||Peter Veniot (died 6 July 1936)|Liberal
52||Louis-Prudent-Alexandre Robichaud|Liberal
53||John Patrick Barry|Liberal
54||Joseph-Enoil Michaud|Liberal
55||Alfred Johnson Brooks|Conservative
56||William Ryan (died 1 April 1938)|Liberal
57||Jack Patterson|Liberal
58||Henry Read Emmerson|Liberal
59||William George Clark|Liberal
60||William Duff|Liberal
61||Daniel Alexander Cameron (died 4 September 1937)|Liberal
62||David James Hartigan|Liberal
63||Gordon Purdy|Liberal
64||Kenneth Judson Cochrane|Liberal
65||James Lorimer Ilsley|Liberal
66||Robert Emmett Finn|Liberal
67||Donald MacLennan|Liberal
68||Henry Byron McCulloch|Liberal
69||John James Kinley|Liberal
70||Vincent Pottier|Liberal
71||Thomas Farquhar|Liberal
72||Henry Sidney Hamilton|Liberal
73||William Ross Macdonald|Liberal
74||George Wood|Liberal
75||Thomas Langton Church|Conservative
76||William Rae Tomlinson|Liberal
77||Alonzo Hyndman|Conservative
78||Joseph-Arthur Bradette|Liberal
79||Joseph Henry Harris|Conservative
80||John Ritchie MacNicol|Conservative
81||William Earl Rowe (resigned 28 September 1937 to campaign for Ontario provincial election)|Conservative
82||Frank Rickard|Liberal
83||Richard Langton Baker|Conservative
84||Wilson Mills|Liberal
85||Paul Martin Sr.|Liberal
86||Murray Clark|Liberal
87||Norman Alexander McLarty|Liberal
88||Dan McIvor|Liberal
89||Colin Campbell (resigned 28 September 1937 to campaign for Ontario provincial election)|Liberal
90||John David MacRae|Liberal
91||Denton Massey|Conservative
92||Arza Clair Casselman|Conservative
93||Agnes Macphail|United Farmers of Ontario-Labour
94||William Pattison Telford, Jr.|Liberal
95||Mark Senn|Conservative
96||Hughes Cleaver|Liberal
97||Albert A. Brown|Conservative
98||Herbert Earl Wilton (died 1 February 1937)|Conservative
99||Rork Scott Ferguson|Liberal
100||John Charles Alexander Cameron|Liberal
101||Alexander James Anderson|Conservative
102||Robert Deachman|Liberal
103||William Henry Golding|Liberal
104||Hugh McKinnon|Liberal
105||James Rutherford (died 27 February 1939)|Liberal
106||Norman McLeod Rogers|Liberal
107||Hugh MacKenzie|Liberal
108||Ross Gray|Liberal
109||Thomas Alfred Thompson|Conservative
110||Hugh Alexander Stewart|Conservative
111||Norman Lockhart|Conservative
112||Frederick Cronyn Betts (died 7 May 1938)|Conservative
113||Duncan Graham Ross|Liberal
114||John Campbell Elliott|Liberal
115||Stephen Furniss|Liberal
116||Raoul Hurtubise|Liberal
117||William Horace Taylor|Liberal
118||William Alexander Fraser|Liberal
119||William Henry Moore|Liberal
120||Edgar-Rodolphe-Eugène Chevrier (until judicial appointment)|Liberal
121||T. Franklin Ahearn|Liberal
122||Almon Rennie|Liberal
123||David Spence|Conservative
124||Arthur Slaght|Liberal
125||Gordon Graydon|Conservative
126||Fred Sanderson|Liberal
127||Joseph James Duffus|Liberal
128||Clarence Decatur Howe|Liberal
129||Élie-Oscar Bertrand|Liberal
130||George Tustin|Conservative
131||Matthew McKay (died in office)|Liberal
132||James Joseph McCann|Liberal
133||Harry Gladstone Clarke|Conservative
134||Alfred Goulet|Liberal
135||Douglas Ross|Conservative
136||George McLean|Liberal
137||Duncan Fletcher McCuaig|Liberal
138||Samuel Factor|Liberal
139||Lionel Chevrier|Liberal
140||Walter Little|Liberal
141||Hugh Plaxton|Liberal
142||Bruce McNevin|Liberal
143||William Daum Euler|Liberal
144||Alexander Edwards (died 3 June 1938)|Conservative
145||Arthur Damude|Liberal
146||John Knox Blair|Liberal
147||Robert Gladstone|Liberal
148||Frank Lennard|Conservative
149||Robert Henry McGregor|Conservative
150||William Pate Mulock|Liberal
151||Earl Lawson|Conservative
152||John Everett Lyle Streight|Liberal
153||Thomas Vincent Grant|Liberal
154||Alfred Edgar MacLean (died 28 October 1939)|Liberal
155||James Larabee (until 18 December 1935 fisheries appointment)|Liberal
156||George Halsey Perley (died in office 4 January 1938)|Conservative
157||Édouard Lacroix|Liberal
158||Maxime Raymond|Liberal
159||Joseph Oscar Lefebre Boulanger|Liberal
160||J.-Émile Ferron|Liberal
161||Charles Marcil (died 29 January 1937)|Liberal
162||Louis Gosselin|Liberal
163||Samuel William Jacobs (died 21 August 1938)|Liberal
164||Vincent Dupuis|Liberal
165||Hervé-Edgar Brunelle|Liberal
166||François Blais|Independent Liberal
167||Pierre-François Casgrain|Liberal
168||Alfred Dubuc|Liberal
169||Donald Elmer Black|Liberal
170||Joseph-Adéodat Blanchette|Liberal
171||Léonard Tremblay|Liberal
172||Wilfrid Girouard|Liberal
173||Maurice Brasset|Liberal
174||Édouard-Charles St-Père|Liberal
175||Alphonse Fournier|Liberal
176||Vital Mallette (died 17 April 1939)|Liberal
177||Charles-Édouard Ferland|Liberal
178||Joseph Georges Bouchard|Liberal
179||Maurice Lalonde (politician)|Liberal
180||Armand Sylvestre|Liberal
181||Ernest Bertrand|Liberal
