|location|name|party
182||Liguori Lacombe|Liberal
183||Joseph-Étienne Dussault|Liberal
184||Joseph-Achille Verville (died 20 November 1937)|Liberal
185||Sarto Fournier|Liberal
186||Arthur-Joseph Lapointe|Liberal
187||Eusèbe Roberge|Liberal
188||Joseph Jean|Liberal
189||Fernand Fafard|Liberal
190||William Allen Walsh|Conservative
191||Lucien Dubois|Liberal
192||Thomas Vien|Liberal
193||Wallace McDonald|Liberal
194||Lucien Cannon (until 15 January 1936 judicial appointment)|Liberal
195||Wilfrid Lacroix|Liberal
196||Ernest Lapointe|Liberal
197||Charles Gavan Power|Liberal
198||Charles Parent|Liberal
199||Arthur Cardin|Liberal
200||James Patrick Mullins|Liberal
201||Eugène Fiset|Liberal
202||William James Hushion|Liberal
203||Robert Smeaton White|Conservative
204||Azellus Denis|Liberal
205||Paul Mercier (until 30 November 1937 judicial appointment)|Liberal
206||Adélard Fontaine|Liberal
207||Fernand Rinfret (died 12 July 1939)|Liberal
208||Martial Rhéaume|Liberal
209||Charles Cahan|Conservative
210||Hermas Deslauriers|Liberal
211||Joseph-Alphida Crête|Liberal
212||Joseph-Hermas Leclerc|Liberal
213||Charles Benjamin Howard|Liberal
214||Robert Davidson|Liberal
215||Jean-François Pouliot|Liberal
216||Louis-Étienne Parent|Liberal
217||Wilfrid Gariépy|Liberal
218||Joseph Thauvette|Liberal
219||Jules Wermenlinger|Conservative
220||Fizalam-William Perras (died 28 June 1936)|Liberal
221||Robert McKenzie (until 9 December 1935 Canadian Farm Loan Board appointment)|Liberal
222||Harry Raymond Fleming|Liberal
223||Otto Buchanan Elliott|Social Credit
224||John Frederick Johnston|Liberal
225||John Angus MacMillan|Liberal
226||Charles Evans|Liberal
227||Malcolm McLean|Liberal
228||William Richard Motherwell|Liberal
229||J. Gordon Ross|Liberal
230||Cameron Ross McIntosh|Liberal
231||William Lyon Mackenzie King|Liberal
232||Ernest Perley|Conservative
233||Donald McNiven|Liberal
234||Major James Coldwell|C.C.F.
235||Walter Tucker|Liberal
236||Alexander MacGillivray Young (died 9 July 1939)|Liberal
237||Charles Edward Bothwell|Liberal
238||Joseph Needham|Social Credit
239||Tommy Douglas|C.C.F.
240||Thomas Donnelly|Liberal
241||George Washington McPhee|Liberal
242||Martha Black|Independent Conservative
