|location|name|party
82|Pierrefonds—Dollard|Gerry Weiner|Progressive Conservative
83|Pontiac—Gatineau—Labelle|Barry Moore|Progressive Conservative
84|Portneuf|Marc Ferland|Progressive Conservative
85|Quebec East|Marcel Tremblay|Progressive Conservative
86|Richelieu|Louis Plamondon|Progressive Conservative
87|Richmond—Wolfe|Yvon Côté|Progressive Conservative
88|Rimouski—Témiscouata|Monique Vézina|Progressive Conservative
89|Roberval|Benoît Bouchard|Progressive Conservative
90|Rosemont|Benoît Tremblay|Progressive Conservative
91|Saint-Denis|Marcel Prud'homme|Liberal
92|Saint-Henri—Westmount|David Berger|Liberal
93|Saint-Hubert|Pierrette Venne †|Progressive Conservative
94|Saint-Hyacinthe—Bagot|Andrée Champagne|Progressive Conservative
95|Saint-Jean|Clément Couture|Progressive Conservative
96|Saint-Laurent|Shirley Maheu|Liberal
97|Saint-Léonard|Alfonso Gagliano|Liberal
98|Saint-Maurice|Denis Pronovost|Progressive Conservative
99|Shefford|Jean Lapierre|Liberal
100|Sherbrooke|Jean Charest|Progressive Conservative
101|Témiscamingue|Gabriel Desjardins|Progressive Conservative
102|Terrebonne|Jean-Marc Robitaille|Progressive Conservative
103|Trois-Rivières|Pierre H. Vincent|Progressive Conservative
104|Vaudreuil|Pierre Cadieux|Progressive Conservative
105|Vercheres|Marcel Danis|Progressive Conservative
106|Verdun—Saint-Paul|Gilbert Chartrand|Progressive Conservative
107|Algoma|Maurice Foster|Liberal
108|Beaches—Woodbine|Neil Young|New Democrat
109|Brampton—Malton|Harry Chadwick|Progressive Conservative
110|Brampton|John McDermid|Progressive Conservative
111|Brant|Derek Blackburn|New Democrat
112|Broadview—Greenwood|Dennis Mills|Liberal
113|Bruce—Grey|Gus Mitges|Progressive Conservative
114|Burlington|Bill Kempling|Progressive Conservative
115|Cambridge|Pat Sobeski|Progressive Conservative
116|Carleton—Gloucester|Eugène Bellemare|Liberal
117|Cochrane—Superior|Réginald Bélair|Liberal
118|Davenport|Charles L. Caccia|Liberal
119|Don Valley East|Alan Redway|Progressive Conservative
120|Don Valley North|Barbara Greene|Progressive Conservative
121|Don Valley West|John Bosley|Progressive Conservative
122|Durham|Ken Stevenson|Progressive Conservative
123|Eglinton—Lawrence|Joe Volpe|Liberal
124|Elgin|Ken Monteith|Progressive Conservative
125|Erie|Girve Fretz|Progressive Conservative
126|Essex-Kent|Jerry Pickard|Liberal
127|Essex-Windsor|Steven Langdon|New Democrat
128|Etobicoke Centre|Michael Wilson|Progressive Conservative
129|Etobicoke North|Roy MacLaren|Liberal
130|Etobicoke—Lakeshore|Patrick Boyer|Progressive Conservative
131|Glengarry—Prescott—Russell|Don Boudria|Liberal
132|Guelph—Wellington|William Winegard|Progressive Conservative
133|Haldimand—Norfolk|Bob Speller|Liberal
134|Halton—Peel|Garth Turner|Progressive Conservative
135|Hamilton East|Sheila Copps|Liberal
136|Hamilton Mountain|Beth Phinney|Liberal
137|Hamilton—Wentworth|Geoffrey Scott|Progressive Conservative
138|Hamilton West|Stan Keyes|Liberal
139|Hastings—Frontenac—Lennox and Addington|William Vankoughnet|Progressive Conservative
140|Huron—Bruce|Murray Cardiff|Progressive Conservative
141|Kenora—Rainy River|Robert Daniel Nault|Liberal
142|Kent|Rex Crawford|Liberal
143|Kingston and the Islands|Peter Milliken|Liberal
144|Kitchener|John Reimer|Progressive Conservative
145|Lambton—Middlesex|Ralph Ferguson|Liberal
146|Lanark—Carleton|Paul Wyatt Dick|Progressive Conservative
147|Leeds—Grenville|Jim Jordan|Liberal
148|Lincoln|Shirley Martin|Progressive Conservative
149|London East|Joe Fontana|Liberal
150|London—Middlesex|Terry Clifford|Progressive Conservative
151|London West|Thomas Hockin|Progressive Conservative
152|Markham|Bill Attewell|Progressive Conservative
153|Mississauga East|Albina Guarnieri|Liberal
154|Mississauga South|Donald Blenkarn|Progressive Conservative
155|Mississauga West|Robert Horner|Progressive Conservative
156|Nepean|Beryl Gaffney|Liberal
157|Niagara Falls|Rob Nicholson|Progressive Conservative
158|Nickel Belt|John Rodriguez|New Democrat
159|Nipissing|Bob Wood|Liberal
160|Northumberland|Christine Stewart|Liberal
161|Oakville—Milton|Otto Jelinek|Progressive Conservative
162|Ontario|René Soetens|Progressive Conservative
163|Oshawa|Ed Broadbent (until December 1989)|New Democrat ±
164|Ottawa Centre|Mac Harb|Liberal
165|Ottawa South|John Manley|Liberal
166|Ottawa West|Marlene Catterall|Liberal
167|Ottawa—Vanier|Jean-Robert Gauthier|Liberal
168|Oxford|Bruce Halliday|Progressive Conservative
169|Parkdale—High Park|Jesse Flis|Liberal
170|Parry Sound—Muskoka|Stan Darling|Progressive Conservative
171|Perth—Wellington—Waterloo|Harry Brightwell|Progressive Conservative
172|Peterborough|Bill Domm|Progressive Conservative
173|Prince Edward—Hastings|Lyle Vanclief|Liberal
174|Renfrew|Len Hopkins|Liberal
175|Rosedale|David MacDonald|Progressive Conservative
176|Sarnia—Lambton|Ken James|Progressive Conservative
177|Sault Ste. Marie|Steve Butland|New Democrat
178|Scarborough Centre|Pauline Browes|Progressive Conservative
179|Scarborough East|Robert Hicks|Progressive Conservative
180|Scarborough West|Tom Wappel|Liberal
181|Scarborough—Agincourt|Jim Karygiannis|Liberal
182|Scarborough—Rouge River|Derek Lee|Liberal
183|Simcoe Centre|Edna Anderson|Progressive Conservative
184|Simcoe North|Doug Lewis|Progressive Conservative
185|St. Catharines|Ken Atkinson|Progressive Conservative
186|St. Paul's|Barbara McDougall|Progressive Conservative
187|Stormont—Dundas|Bob Kilger|Liberal
188|Sudbury|Diane Marleau|Liberal
189|Thunder Bay—Atikokan|Iain Angus|New Democrat
190|Thunder Bay—Nipigon|Joe Comuzzi|Liberal
191|Timiskaming|John MacDougall|Progressive Conservative
192|Timmins—Chapleau|Cid Samson|New Democrat
193|Trinity—Spadina|Dan Heap|New Democrat
194|Victoria—Haliburton|William Scott|Progressive Conservative
195|Waterloo|Walter McLean|Progressive Conservative
196|Welland—St. Catharines—Thorold|Gilbert Parent|Liberal
197|Wellington—Grey—Dufferin—Simcoe|Perrin Beatty|Progressive Conservative
198|Willowdale|Jim Peterson|Liberal
199|Windsor West|Herb Gray|Liberal
200|Windsor—Lake St. Clair|Howard McCurdy|New Democrat
201|York Centre|Bob Kaplan|Liberal
202|York North|Maurizio Bevilacqua|Liberal
203|York South—Weston|John Nunziata|Liberal
204|York—Simcoe|John Cole|Progressive Conservative
205|York West|Sergio Marchi|Liberal
206|Brandon—Souris|Lee Clark|Progressive Conservative
207|Churchill|Rodney Murphy|New Democrat
208|Dauphin—Swan River|Brian White|Progressive Conservative
209|Lisgar—Marquette|Charles Mayer|Progressive Conservative
210|Portage—Interlake|Felix Holtmann|Progressive Conservative
211|Provencher|Jake Epp|Progressive Conservative
212|Selkirk—Red River|David Bjornson|Progressive Conservative
213|Saint Boniface|Ronald Duhamel|Liberal
214|Winnipeg North Centre|David Walker|Liberal
215|Winnipeg North|Rey Pagtakhan|Liberal
216|Winnipeg South|Dorothy Dobbie|Progressive Conservative
217|Winnipeg St. James|John Harvard|Liberal
218|Winnipeg South Centre|Lloyd Axworthy|Liberal
219|Winnipeg—Transcona|Bill Blaikie|New Democrat
220|Kindersley—Lloydminster|Bill McKnight|Progressive Conservative
221|Mackenzie|Vic Althouse|New Democrat
222|Moose Jaw—Lake Centre|Rod Laporte|New Democrat
223|Prince Albert—Churchill River|Ray Funk|New Democrat
224|Regina—Lumsden|Leslie Benjamin|New Democrat
225|Regina—Qu'Appelle|Simon de Jong|New Democrat
226|Regina—Wascana|Larry Schneider|Progressive Conservative
227|Saskatoon—Clark's Crossing|Chris Axworthy|New Democrat
228|Saskatoon—Dundurn|Ron Fisher|New Democrat
229|Saskatoon—Humboldt|Stan Hovdebo|New Democrat
230|Souris—Moose Mountain|Leonard Gustafson|Progressive Conservative
231|Swift Current—Maple Creek—Assiniboia|Geoff Wilson|Progressive Conservative
232|The Battlefords—Meadow Lake|Len Taylor|New Democrat
233|Yorkton—Melville|Lorne Nystrom|New Democrat
234|Athabasca|Jack Shields|Progressive Conservative
235|Beaver River|John Dahmer (until November 1988)|Progressive Conservative ÷
236|Calgary Centre|Harvie Andre|Progressive Conservative
237|Calgary North|Al Johnson|Progressive Conservative
238|Calgary Northeast|Alex Kindy|Progressive Conservative
239|Calgary Southeast|Lee Richardson|Progressive Conservative
240|Calgary Southwest|Bobbie Sparrow|Progressive Conservative
241|Calgary West|Jim Hawkes|Progressive Conservative
242|Crowfoot|Arnold Malone|Progressive Conservative
243|Edmonton East|Ross Harvey|New Democrat
244|Edmonton North|Steve Paproski|Progressive Conservative
245|Edmonton Northwest|Murray Dorin|Progressive Conservative
246|Edmonton Southeast|David Kilgour|Progressive Conservative
247|Edmonton Southwest|Jim Edwards|Progressive Conservative
248|Edmonton—Strathcona|Scott Thorkelson|Progressive Conservative
249|Elk Island|Brian O'Kurley|Progressive Conservative
250|Lethbridge|Blaine Thacker|Progressive Conservative
251|Macleod|Ken Hughes|Progressive Conservative
252|Medicine Hat|Robert Harold Porter|Progressive Conservative
253|Peace River|Albert Cooper|Progressive Conservative
254|Red Deer|Douglas Fee|Progressive Conservative
255|St. Albert|Walter van de Walle|Progressive Conservative
256|Vegreville|Don Mazankowski|Progressive Conservative
257|Wetaskiwin|Willie Littlechild|Progressive Conservative
258|Wild Rose|Louise Feltham|Progressive Conservative
259|Yellowhead|Joe Clark|Progressive Conservative
260|Burnaby—Kingsway|Svend Robinson|New Democrat
261|Capilano—Howe Sound|Mary Collins|Progressive Conservative
262|Cariboo—Chilcotin|Dave Worthy|Progressive Conservative
263|Comox—Alberni|Robert Skelly|New Democrat
264|Delta|Stan Wilbee|Progressive Conservative
265|Esquimalt—Juan de Fuca|Dave Barrett|New Democrat
266|Fraser Valley East|Ross Belsher|Progressive Conservative
267|Fraser Valley West|Robert Wenman|Progressive Conservative
268|Kamloops|Nelson Riis|New Democrat
269|Kootenay East|Sid Parker|New Democrat
270|Kootenay West—Revelstoke|Lyle Kristiansen|New Democrat
271|Mission—Coquitlam|Joy Langan|New Democrat
272|Nanaimo—Cowichan|David Stupich|New Democrat
273|New Westminster—Burnaby|Dawn Black|New Democrat
274|North Island—Powell River|Raymond Skelly|New Democrat
275|North Vancouver|Chuck Cook|Progressive Conservative
276|Okanagan Centre|Al Horning|Progressive Conservative
277|Okanagan—Shuswap|Lyle MacWilliam|New Democrat
278|Okanagan—Similkameen—Merritt|Jack Whittaker|New Democrat
279|Port Moody—Coquitlam|Ian Waddell|New Democrat
280|Prince George—Bulkley Valley|Brian Gardiner|New Democrat
281|Prince George—Peace River|Frank Oberle, Sr.|Progressive Conservative
282|Richmond|Tom Siddon|Progressive Conservative
283|Saanich—Gulf Islands|Lynn Hunter|New Democrat
284|Skeena|James Fulton|New Democrat
285|Surrey North|Jim Karpoff|New Democrat
286|Surrey—White Rock|Benno Friesen|Progressive Conservative
287|Vancouver Centre|Kim Campbell|Progressive Conservative
288|Vancouver East|Margaret Mitchell|New Democrat
289|Vancouver Quadra|John Turner|Liberal
290|Vancouver South|John Fraser|Progressive Conservative
291|Victoria|John Brewin|New Democrat
292|Western Arctic|Ethel Blondin-Andrew|Liberal
293|Nunatsiaq|Jack Anawak|Liberal
294|Yukon|Audrey McLaughlin|New Democrat
