|location|name|party
0|Bonavista—Trinity—Conception|Fred Mifflin|Liberal
1|Burin—St. George's|Roger Simmons|Liberal
2|Gander—Grand-Falls|George Baker|Liberal
3|Humber—St. Barbe—Baie Verte|Brian Tobin|Liberal
4|Labrador|Bill Rompkey|Liberal
5|St. John's East|Ross Reid|Progressive Conservative
6|St. John's West|John Crosbie|Progressive Conservative
7|Cardigan|Lawrence MacAulay|Liberal
8|Egmont|Joe McGuire|Liberal
9|Hillsborough|George Proud|Liberal
10|Malpeque|Catherine Callbeck|Liberal
11|Annapolis Valley—Hants|Pat Nowlan|Progressive Conservative
12|Cape Breton Highlands—Canso|Francis LeBlanc|Liberal
13|Cape Breton—East Richmond|David Dingwall|Liberal
14|Cape Breton—The Sydneys|Russell MacLellan|Liberal
15|Central Nova|Elmer MacKay|Progressive Conservative
16|Cumberland—Colchester|Bill Casey|Progressive Conservative
17|Dartmouth|Ron MacDonald|Liberal
18|Halifax|Mary Clancy|Liberal
19|Halifax West|Howard Crosby|Progressive Conservative
20|South Shore|Peter McCreath|Progressive Conservative
21|South West Nova|Coline Campbell|Liberal
22|Beauséjour|Fernand Robichaud (until September 1990)|Liberal *
23|Carleton—Charlotte|Greg Thompson|Progressive Conservative
24|Fredericton|Bud Bird|Progressive Conservative
25|Fundy—Royal|Robert Corbett|Progressive Conservative
26|Gloucester|Doug Young|Liberal
27|Madawaska—Victoria|Bernard Valcourt|Progressive Conservative
28|Miramichi|Maurice Dionne|Liberal
29|Moncton|George Rideout|Liberal
30|Restigouche—Chaleur|Guy Arseneault|Liberal
31|Saint John|Gerald Merrithew|Progressive Conservative
32|Abitibi|Guy St-Julien|Progressive Conservative
33|Ahuntsic|Nicole Roy-Arcelin|Progressive Conservative
34|Anjou—Rivière-des-Prairies|Jean Corbeil|Progressive Conservative
35|Argenteuil—Papineau|Lise Bourgault|Progressive Conservative
36|Beauce|Gilles Bernier|Progressive Conservative
37|Beauharnois—Salaberry|Jean-Guy Hudon|Progressive Conservative
38|Bellechasse|Pierre Blais|Progressive Conservative
39|Berthier—Montcalm|Robert de Cotret|Progressive Conservative
40|Blainville—Deux-Montagnes|Monique Landry|Progressive Conservative
41|Bonaventure—Îles-de-la-Madeleine|Darryl Gray|Progressive Conservative
42|Bourassa|Marie Gibeau|Progressive Conservative
43|Brome—Missisquoi|Gabrielle Bertrand|Progressive Conservative
44|Chambly|Richard Grisé|Progressive Conservative ‡
45|Champlain|Michel Champagne|Progressive Conservative
46|Charlesbourg|Monique Tardif|Progressive Conservative
47|Charlevoix|Brian Mulroney|Progressive Conservative
48|Chateauguay|Ricardo Lopez|Progressive Conservative
49|Chicoutimi|André Harvey|Progressive Conservative
50|Drummond|Jean-Guy Guilbault|Progressive Conservative
51|Duvernay|Vincent Della Noce|Progressive Conservative
52|Frontenac|Marcel Masse|Progressive Conservative
53|Gaspé|Charles-Eugène Marin|Progressive Conservative
54|Gatineau—La Lièvre|Mark Assad|Liberal
55|Hochelaga—Maisonneuve|Allan Koury|Progressive Conservative
56|Hull—Aylmer|Gilles Rocheleau|Liberal
57|Joliette|Gaby Larrivée|Progressive Conservative
58|Jonquiere|Jean-Pierre Blackburn|Progressive Conservative
59|Kamouraska—Rivière-du-Loup|André Plourde|Progressive Conservative
60|La Prairie|Fernand Jourdenais|Progressive Conservative
61|Lac-Saint-Jean|Lucien Bouchard|Progressive Conservative
62|Lachine—Lac-Saint-Louis|Robert Layton|Progressive Conservative
63|LaSalle—Émard|Paul Martin|Liberal
64|Laurentides|Jacques Vien|Progressive Conservative
65|Laurier—Sainte-Marie|Jean-Claude Malépart (until September 1989)|Liberal Ø
66|Laval|Guy Ricard|Progressive Conservative
67|Laval-des-Rapides|Jacques Tétreault|Progressive Conservative
68|Lévis|Gabriel Fontaine|Progressive Conservative
69|Langelier|Gilles Loiselle|Progressive Conservative
70|Longueuil|Nic Leblanc|Progressive Conservative
71|Lotbiniere|Maurice Tremblay|Progressive Conservative
72|Louis-Hébert|Suzanne Duplessis|Progressive Conservative
73|Manicouagan|Charles Langlois|Progressive Conservative
74|Matapédia—Matane|Jean-Luc Joncas|Progressive Conservative
75|Mégantic—Compton—Stanstead|François Gérin|Progressive Conservative
76|Mercier|Carole Jacques|Progressive Conservative
77|Montmorency—Orléans|Charles Deblois|Progressive Conservative
78|Mount Royal|Sheila Finestone|Liberal
79|Notre-Dame-de-Grâce|Warren Allmand|Liberal
80|Outremont|Jean-Pierre Hogue|Progressive Conservative
81|Papineau—Saint-Michel|André Ouellet|Liberal
