|name|party|location
0|Lee Richardson|Conservative|Calgary Centre
1|Jim Prentice|Conservative|Calgary Centre-North
2|Deepak Obhrai|Conservative|Calgary East
3|Devinder Shory|Conservative|Calgary Northeast
4|Diane Ablonczy|Conservative|Calgary—Nose Hill
5|Jason Kenney|Conservative|Calgary Southeast
6|Stephen Harper|Conservative|Calgary Southwest
7|Rob Anders|Conservative|Calgary West
8|Kevin Sorenson|Conservative|Crowfoot
9|Laurie Hawn|Conservative|Edmonton Centre
10|Peter Goldring|Conservative|Edmonton East
11|James Rajotte|Conservative|Edmonton—Leduc
12|Mike Lake|Conservative|Edmonton—Mill Woods—Beaumont
13|Linda Duncan|NDP|Edmonton—Strathcona
14|Brent Rathgeber|Conservative|Edmonton—St. Albert
15|Tim Uppal|Conservative|Edmonton—Sherwood Park
16|Rona Ambrose|Conservative|Edmonton—Spruce Grove
17|Brian Jean|Conservative|Fort McMurray—Athabasca
18|Rick Casson|Conservative|Lethbridge
19|Ted Menzies|Conservative|Macleod
20|LaVar Payne|Conservative|Medicine Hat
21|Chris Warkentin|Conservative|Peace River
22|Earl Dreeshen|Conservative|Red Deer
23|Leon Benoit|Conservative|Vegreville—Wainwright
24|Brian Storseth|Conservative|Westlock—St. Paul
25|Blaine Calkins|Conservative|Wetaskiwin
26|Blake Richards|Conservative|Wild Rose
27|Rob Merrifield|Conservative|Yellowhead
28|Ed Fast|Conservative|Abbotsford
29|Alex Atamanenko|NDP|British Columbia Southern Interior
30|Bill Siksay|NDP|Burnaby—Douglas
31|Peter Julian|NDP|Burnaby—New Westminster
32|Richard Harris|Conservative|Cariboo—Prince George
33|Chuck Strahl|Conservative|Chilliwack—Fraser Canyon
34|John Cummins|Conservative|Delta—Richmond East
35|Keith Martin|Liberal|Esquimalt—Juan de Fuca
36|Nina Grewal|Conservative|Fleetwood—Port Kells
37|Cathy McLeod|Conservative|Kamloops—Thompson—Cariboo
38|Ron Cannan|Conservative|Kelowna—Lake Country
39|Jim Abbott|Conservative|Kootenay—Columbia
40|Mark Warawa|Conservative|Langley
41|James Lunney|Conservative|Nanaimo—Alberni
42|Jean Crowder|NDP|Nanaimo—Cowichan
43|Dawn Black|NDP|New Westminster—Coquitlam
44|Sukh Dhaliwal|Liberal|Newton—North Delta
45|Andrew Saxton|Conservative|North Vancouver
46|Stockwell Day|Conservative|Okanagan—Coquihalla
47|Colin Mayes|Conservative|Okanagan—Shuswap
48|Randy Kamp|Conservative|Pitt Meadows—Maple Ridge—Mission
49|James Moore|Conservative|Port Moody—Westwood—Port Coquitlam
50|Jay Hill|Conservative|Prince George—Peace River
51|Alice Wong|Conservative|Richmond
52|Gary Lunn|Conservative|Saanich—Gulf Islands
53|Russ Hiebert|Conservative|South Surrey—White Rock—Cloverdale
54|Nathan Cullen|NDP|Skeena—Bulkley Valley
55|Dona Cadman|Conservative|Surrey North
56|Hedy Fry|Liberal|Vancouver Centre
57|Libby Davies|NDP|Vancouver East
58|John Duncan|Conservative|Vancouver Island North
59|Don Davies|NDP|Vancouver Kingsway
60|Joyce Murray|Liberal|Vancouver Quadra
61|Ujjal Dosanjh|Liberal|Vancouver South
62|Denise Savoie|NDP|Victoria
63|John Weston|Conservative|West Vancouver—Sunshine Coast—Sea to Sky Country
