|location|name|party
164||Thomas Joseph Kickham|Liberal
165||John Watson Macnaught|Liberal
166||James Lester Douglas (died 30 September 1950)|Liberal
167||Philippe Valois|Liberal
168||Raoul Poulin|Independent
169||Robert Cauchon|Liberal
170||Louis-Philippe Picard|Liberal
171||Joseph Langlois|Liberal
172||Bona Arsenault|Liberal
173||Henri A. Gosselin (died 27 January 1952)|Liberal
174||Maurice Hartt (died 15 March 1950)|Liberal
175||Roch Pinard|Liberal
176||Joseph Irenée Rochefort|Liberal
177||David Gourd|Liberal
178||Auguste Maltais|Liberal
179||Donald Elmer Black|Liberal
180||Paul-Edmond Gagnon|Independent
181||Joseph-Adéodat Blanchette|Liberal
182||Léonard-David Sweezey Tremblay|Liberal
183||Armand Cloutier|Liberal
184||J. G. Léopold Langlois|Liberal
185||Léon Raymond (appointed House of Commons Clerk on 5 August 1949)|Liberal
186||Raymond Eudes|Liberal
187||Alphonse Fournier|Liberal
188||Charles-Arthur Dumoulin Cannon|Liberal
189||Elphège Marier (until 24 August 1949 judicial appointment)|Liberal
190||Georges-Émile Lapalme (resigned 23 June 1950)|Liberal
191||Eugène Marquis (until 24 August 1949 judicial appointment)|Liberal
192||Henri Courtemanche|Progressive Conservative
193||André Gauthier|Liberal
194||J.-Georges Ratelle|Liberal
195||Jules Gauthier|Liberal
196||Ernest Bertrand (until 24 August 1949 emoulment appointment)|Liberal
197||Léopold Demers|Liberal
198||Maurice Bourget|Liberal
199||Hugues Lapointe|Liberal
200||Sarto Fournier|Liberal
201||Antoine-Philéas Côté|Liberal
202||Joseph Lafontaine|Liberal
203||Joseph Jean (until 24 August 1949 emoulment appointment)|Liberal
204||Jean Lesage|Liberal
205||Alan Aylesworth Macnaughton|Liberal
206||Maurice Boisvert|Liberal
207||Frederick Primrose Whitman|Liberal
208||Édouard Rinfret|Liberal
209||Camillien Houde|Independent
210||John Hugh Proudfoot|Liberal
211||Pierre Gauthier|Liberal
212||Wilfrid Lacroix|Liberal
213||Louis St. Laurent|Liberal
214||Charles Gavan Power|Liberal
215||Charles Eugène Parent|Liberal
216||Gérard Cournoyer (resigned 5 July 1952)|Liberal
217||Ernest-Omer Gingras|Liberal
218||Gleason Belzile (died 25 July 1950)|Liberal
219||Joseph-Alfred Dion (until 8 April 1952 emoulment appointment)|Liberal
220||Lomer Brisson|Liberal
221||Thomas Patrick Healy|Liberal
222||Douglas Abbott|Liberal
223||Azellus Denis|Liberal
224||Joseph-Arsène Bonnier|Liberal
225||Joseph Louis Rosario Fontaine|Liberal
226||Roland Beaudry|Liberal
227||Alcide Côté|Liberal
228||Brooke Claxton|Liberal
229||Gaspard Fauteux (resigned 18 August 1950)|Liberal
230||Joseph-Adolphe Richard|Liberal
231||Marcel Boivin|Liberal
232||Maurice Gingues|Liberal
233||Louis-Édouard Roberge|Liberal
234||Jean-François Pouliot|Independent Liberal
235||Lionel Bertrand|Liberal
236||Léon Balcer|Progressive Conservative
237||Louis-René Beaudoin|Liberal
238||Paul-Émile Côté|Liberal
239||Armand Dumas|Liberal
240||Hazen Argue|C.C.F.
241||Joseph Ingolph Hetland|Liberal
242||Frederick Hugo Larson|Liberal
243||John Diefenbaker|Progressive Conservative
244||Gladstone Mansfield Ferrie|Liberal
245||Irvin William Studer|Liberal
246||John Hornby Harrison|Liberal
247||Percy Ellis Wright|C.C.F.
248||James Garfield Gardiner|Liberal
249||Ross Thatcher|C.C.F.
250||John James Smith|Liberal
251||Francis Heselton Helme|Liberal
252||Austin Edwin Dewar|Liberal
253||Emmett Andrew McCusker|Liberal
254||Major James Coldwell|C.C.F.
255||William Albert Boucher|Liberal
256||Robert Ross (Roy) Knight|C.C.F.
257||Harry B. Whiteside|Liberal
258||Arthur James Bater|Liberal
259||Alan Carl Stewart|Liberal
