|location|name|party
0||Jack Horner|Progressive Conservative
1||Jack Bigg|Progressive Conservative
2||Clifford Smallwood|Progressive Conservative
3||Eldon Woolliams|Progressive Conservative
4||Douglas Harkness|Progressive Conservative
5||Arthur Ryan Smith|Progressive Conservative
6||William Skoreyko|Progressive Conservative
7||Terry Nugent|Progressive Conservative
8||Marcel Lambert|Progressive Conservative
9||Hugh Horner|Progressive Conservative
10||Deane Gundlock|Progressive Conservative
11||Lawrence Kindt|Progressive Conservative
12||Edwin William Brunsden|Progressive Conservative
13||Ged Baldwin|Progressive Conservative
14||Harris George Rogers|Progressive Conservative
15||Frank Fane|Progressive Conservative
16||James Stanley Speakman|Progressive Conservative
17||Erhart Regier|C.C.F.
18||John Drysdale|Progressive Conservative
19||Walter Clarence Henderson|Progressive Conservative
20||William Hector Payne|Progressive Conservative
21||Henry McQuillan|Progressive Conservative
22||George Randolph Pearkes (until 11 October 1960 emoulment appointment)|Progressive Conservative
23||William Harold Hicks|Progressive Conservative
24||Edmund Davie Fulton|Progressive Conservative
25||Murray McFarlane|Progressive Conservative
26||Herbert Wilfred Herridge|C.C.F.
27||Walter Matthews|Progressive Conservative
28||William McLennan|Progressive Conservative
29||David Vaughan Pugh|Progressive Conservative
30||Stuart A. Fleming|Progressive Conservative
31||Frank Howard|C.C.F.
32||John Russell Taylor|Progressive Conservative
33||Douglas Jung|Progressive Conservative
34||Harold Edward Winch|C.C.F.
35||John Ferguson Browne|Progressive Conservative
36||Howard Charles Green|Progressive Conservative
37||Ernest James Broome|Progressive Conservative
38||Albert DeBurgo McPhillips|Progressive Conservative
39||Walter Dinsdale|Progressive Conservative
40||Robert Simpson|Progressive Conservative
41||Richard Elmer Forbes|Progressive Conservative
42||George Robson Muir|Progressive Conservative
43||Nick Mandziuk|Progressive Conservative
44||George Fairfield|Progressive Conservative
45||Warner Herbert Jorgenson|Progressive Conservative
46||Eric Stefanson, Sr.|Progressive Conservative
47||Val Yacula (died 24 September 1958)|Progressive Conservative
48||Laurier Régnier|Progressive Conservative
49||Murray Smith|Progressive Conservative
50||John MacLean|Progressive Conservative
51||Gordon Chown|Progressive Conservative
52||Gordon Churchill|Progressive Conservative
53||Caldwell Stewart|Progressive Conservative
54||Hédard-J. Robichaud|Liberal
55||Hervé Michaud|Liberal
56||George Roy Mcwilliam|Liberal
57||Charles Van Horne|Progressive Conservative
58||Alfred Johnson Brooks|Progressive Conservative
59||Thomas Miller Bell|Progressive Conservative
60||Gage Montgomery|Progressive Conservative
61||William Creaghan|Progressive Conservative
62||John Chester MacRae|Progressive Conservative
63||Jack Pickersgill|Liberal
64||Chesley William Carter|Liberal
65||Charles Granger|Liberal
66||Herman Maxwell Batten|Liberal
67||James Aloysius McGrath|Progressive Conservative
68||William Joseph Browne|Progressive Conservative
69||James Roy Tucker|Liberal
70||Mervyn Arthur Hardie|Liberal
71||Clement O'Leary|Progressive Conservative
72||Robert Muir|Progressive Conservative
73||Donald Macinnis|Progressive Conservative
74||Cyril Frost Kennedy|Progressive Conservative
75||Robert Coates|Progressive Conservative
76||George Nowlan|Progressive Conservative
77||Robert Jardine McCleave|Progressive Conservative
78||Robert MacLellan|Progressive Conservative
79||Howard Russell Macewan|Progressive Conservative
80||Lloyd Crouse|Progressive Conservative
81||Felton Fenwick Legere|Progressive Conservative
82||Lester B. Pearson|Liberal
83||George Ewart Nixon|Liberal
84||Jack Wratten|Progressive Conservative
85||John A. Charlton|Progressive Conservative
86||George Hees|Progressive Conservative
87||Andrew Ernest Robinson|Progressive Conservative
88||Dick Bell|Progressive Conservative
89||Joseph-Anaclet Habel|Liberal
90||Robert Hardy Small|Progressive Conservative
91||Douglas Morton|Progressive Conservative
92||William Earl Rowe|Progressive Conservative
93||Reginald Percy Vivian|Progressive Conservative
94||Donald Fleming|Progressive Conservative
95||James Alexander McBain|Progressive Conservative
96||Paul Martin Sr.|Liberal
97||Richard Devere Thrasher|Progressive Conservative
98||Norman Leonard Spencer|Progressive Conservative
99||Hubert Badanai|Liberal
100||Osie Villeneuve|Progressive Conservative
101||James MacKerras Macdonnell|Progressive Conservative
102||Arza Clair Casselman (died 11 May 1958)|Progressive Conservative
103||Eric Alfred Winkler|Progressive Conservative
104||Percy Verner Noble|Progressive Conservative
105||Charles Alexander Best|Progressive Conservative
106||Quinto Martini|Progressive Conservative
107||Robert Matthew Turnbull McDonald|Progressive Conservative
108||Ellen Fairclough|Progressive Conservative
109||Sidney Smith (died 17 March 1959)|Progressive Conservative
110||Lee Elgy Grills|Progressive Conservative
111||John Kucherepa|Progressive Conservative
112||Lewis Elston Cardiff|Progressive Conservative
113||William Moore Benidickson|Liberal-Labour
114||Harold Warren Danforth|Progressive Conservative
115||Benjamin Graydon Allmark|Progressive Conservative
116||Ernest John Campbell|Progressive Conservative
117||Joseph Warner Murphy|Progressive Conservative
118||George Doucett|Progressive Conservative
119||Hayden Stanton (died 8 December 1960)|Progressive Conservative
120||John Smith|Progressive Conservative
121||Ernest Halpenny|Progressive Conservative
122||Harry Oliver White|Progressive Conservative
123||William Howell Arthur Thomas|Progressive Conservative
124||William Houck (died 5 May 1960)|Liberal
125||Osias Godin|Liberal
126||Jack Garland|Liberal
127||John Evans Knowles|Progressive Conservative
128||Benjamin Cope (Ben) Thompson|Progressive Conservative
129||Michael Starr|Progressive Conservative
130||Jean-Thomas Richard|Liberal
131||George James Mcilraith|Liberal
132||Wally Nesbitt|Progressive Conservative
133||Arthur Edward Martin Maloney|Progressive Conservative
134||Gordon Aiken|Progressive Conservative
