|location|name|party
0||Victor Quelch|Social Credit
1||Joseph Miville Dechene|Liberal
2||James Alexander Smith|Social Credit
3||Charles Edward Johnston|Social Credit
4||Douglas Harkness|Progressive Conservative
5||Arthur Ryan Smith|Progressive Conservative
6||Ambrose Holowach|Social Credit
7||Sydney Herbert Thompson|Social Credit
8||Marcel Lambert|Progressive Conservative
9||Charles Yuill|Social Credit
10||John Horne Blackmore|Social Credit
11||Ernest George Hansell|Social Credit
12||Bud Olson|Social Credit
13||Solon Earl Low|Social Credit
14||Frederick Davis Shaw|Social Credit
15||Peter Stefura|Social Credit
16||Ray Thomas|Social Credit
17||Erhart Regier|C.C.F.
18||Thomas Irwin|Social Credit
19||Bert Leboe|Social Credit
20||James Sinclair|Liberal
21||Thomas Speakman Barnett|C.C.F.
22||George Randolph Pearkes|Progressive Conservative
23||Alexander Bell Patterson|Social Credit
24||Edmund Davie Fulton|Progressive Conservative
25||Jim Byrne|Liberal
26||Herbert Wilfred Herridge|C.C.F.
27||Colin Cameron|C.C.F.
28||George Hahn|Social Credit
29||Frank Christian|Social Credit
30||George McLeod|Social Credit
31||Frank Howard|C.C.F.
32||John Russell Taylor|Progressive Conservative
33||Douglas Jung|Progressive Conservative
34||Harold Edward Winch|C.C.F.
35||Alexander Macdonald|C.C.F.
36||Howard Charles Green|Progressive Conservative
37||Ernest James Broome|Progressive Conservative
38||Albert DeBurgo McPhillips|Progressive Conservative
39||Walter Dinsdale|Progressive Conservative
40||Robert Simpson|Progressive Conservative
41||Fred Zaplitny|C.C.F.
42||George Robson Muir|Progressive Conservative
43||Nick Mandziuk|Progressive Conservative
44||George Clark Fairfield|Progressive Conservative
45||Warner Herbert Jorgenson|Progressive Conservative
46||William Bryce|C.C.F.
47||Jacob Schulz|C.C.F.
48||Louis Deniset|Liberal
49||Alistair Stewart|C.C.F.
50||Stanley Knowles|C.C.F.
51||Gordon Chown|Progressive Conservative
52||Gordon Churchill|Progressive Conservative
53||A. Wesley Stuart|Liberal
54||Hédard-J. Robichaud|Liberal
55||Hervé Michaud|Liberal
56||George Roy McWilliam|Liberal
57||Charles Van Horne|Progressive Conservative
58||Alfred Johnson Brooks|Progressive Conservative
59||Thomas Miller Bell|Progressive Conservative
60||Gage Montgomery|Progressive Conservative
61||Henry Murphy|Liberal
62||John Chester MacRae|Progressive Conservative
63||Jack Pickersgill|Liberal
64||Chesley William Carter|Liberal
65||Thomas Gordon William Ashbourne|Liberal
66||Herman Maxwell Batten|Liberal
67||James Aloysius McGrath|Progressive Conservative
68||William Joseph Browne|Progressive Conservative
69||Leonard Stick|Liberal
70||Mervyn Arthur Hardie|Liberal
71||Angus Ronald Macdonald|Progressive Conservative
72||Robert Muir|Progressive Conservative
73||Donald Macinnis|Progressive Conservative
74||Cyril Frost Kennedy|Progressive Conservative
75||Robert Coates|Progressive Conservative
76||George Nowlan|Progressive Conservative
77||Robert Jardine McCleave|Progressive Conservative
78||Allan MacEachen|Liberal
79||Howard Russell Macewan|Progressive Conservative
80||Lloyd Crouse|Progressive Conservative
81||Thomas Andrew Murray Kirk|Liberal
82||Lester B. Pearson|Liberal
83||George E. Nixon|Liberal
84||Jack Wratten|Progressive Conservative
85||John A. Charlton|Progressive Conservative
86||George Hees|Progressive Conservative
87||Andrew Ernest Robinson|Progressive Conservative
