|location|name|party
0||Victor Quelch|Social Credit
1||Joseph Miville Dechene|Liberal
2||Robert Fair (died 11 November 1954)|Social Credit
3||Charles Edward Johnston|Social Credit
4||Douglas Harkness|Progressive Conservative
5||Carl Nickle|Progressive Conservative
6||Ambrose Holowach|Social Credit
7||Richmond Francis Hanna|Liberal
8||George Prudham|Liberal
9||Charles Yuill|Social Credit
10||John Horne Blackmore|Social Credit
11||Ernest George Hansell|Social Credit
12||William Duncan Wylie|Social Credit
13||Solon Earl Low|Social Credit
14||Frederick Davis Shaw|Social Credit
15||John Decore|Liberal
16||Ray Thomas|Social Credit
17||Erhart Regier|C.C.F.
18||Tom Goode|Liberal
19||Bert Leboe|Social Credit
20||James Sinclair|Liberal
21||Thomas Speakman Barnett|C.C.F.
22||George Pearkes|Progressive Conservative
23||Alexander Bell Patterson|Social Credit
24||Davie Fulton|Progressive Conservative
25||James Allen Byrne|Liberal
26||Herbert Wilfred Herridge|C.C.F.
27||Colin Cameron|C.C.F.
28||George Hahn|Social Credit
29||Owen Jones|C.C.F.
30||George McLeod|Social Credit
31||Edward Applewhaite|Liberal
32||Lorne MacDougall|Liberal
33||Ralph Campney|Liberal
34||Harold Edward Winch|C.C.F.
35||Angus MacInnis|C.C.F.
36||Howard Charles Green|Progressive Conservative
37||Elmore Philpott|Liberal
38||Francis Fairey|Liberal
39||Walter Dinsdale|Progressive Conservative
40||George Weaver|Liberal
41||Fred Zaplitny|C.C.F.
42||William Albert Pommer|Liberal
43||Stuart Garson|Liberal
44||William Gilbert Weir|Liberal-Progressive
45||René Jutras|Liberal
46||Robert James Wood (died 8 August 1954)|Liberal
47||Anton Weselak|Liberal
48||Fernand Viau|Liberal
49||Alistair Stewart|C.C.F.
50||Stanley Knowles|C.C.F.
51||Owen Trainor|Progressive Conservative
52||Gordon Churchill|Progressive Conservative
53||A. Wesley Stuart|Liberal
54||Hédard Robichaud|Liberal
55||Hervé Michaud|Liberal
56||George Roy McWilliam|Liberal
57||Joseph Gaspard Boucher|Liberal
58||Alfred Johnson Brooks|Progressive Conservative
59||Thomas Miller Bell|Progressive Conservative
60||Gage Montgomery|Progressive Conservative
61||Henry Murphy|Liberal
62||Milton Fowler Gregg|Liberal
63||Jack Pickersgill|Liberal
64||Chesley William Carter|Liberal
65||Thomas Gordon William Ashbourne|Liberal
66||Herman Maxwell Batten|Liberal
67||Allan Fraser|Liberal
68||James Augustine Power|Liberal
69||Leonard Stick|Liberal
70||Mervyn Arthur Hardie|Liberal
71||J. Ralph Kirk|Liberal
72||William Murdoch Buchanan|Liberal
73||Clarence Gillis|C.C.F.
74||Gordon Purdy|Liberal
75||Azel Randolph Lusby|Liberal
76||George Nowlan|Progressive Conservative
77||Samuel Rosborough Balcom|Liberal
78||Allan MacEachen|Liberal
79||Henry Byron McCulloch|Liberal
80||Robert Winters|Liberal
81||Thomas Andrew Murray Kirk|Liberal
82||Lester B. Pearson|Liberal
83||George E. Nixon|Liberal
84||James Elisha Brown|Liberal
85||John A. Charlton|Progressive Conservative
86||George Hees|Progressive Conservative
87||Andrew Ernest Robinson|Progressive Conservative
88||George Drew|Progressive Conservative
89||Joseph-Anaclet Habel|Liberal
90||Robert Hardy Small|Progressive Conservative
91||Paul Hellyer|Liberal
92||William Earl Rowe|Progressive Conservative
