|location|name|party
148||Ian Wahn|Liberal
149||Rodger Mitchell|Liberal
150||Arnold Peters|New Democratic Party
151||Murdo Martin|New Democratic Party
152||Paul Hellyer|Liberal
153||Charles Wesley Lamb|Progressive Conservative
154||Oscar William Weichel|Progressive Conservative
155||Gordon Chaplin (died in office)|Progressive Conservative
156||William Hector McMillan|Liberal
157||Marvin Howe|Progressive Conservative
158||Alfred Dryden Hales|Progressive Conservative
159||John B. Morison|Liberal
160||James Edgar Walker|Liberal
161||Steven Otto|Liberal
162||Ralph Cowan|Liberal
163||John Hollings Addison|Liberal
164||Maurice John Moreau|Liberal
165||Marvin Gelber|Liberal
166||Leonard Patrick (Red) Kelly|Liberal
167||John Cooney Mullally|Liberal
168||John Watson Macnaught|Liberal
169||John Angus Maclean|Progressive Conservative
170||Vincent Drouin|Liberal
171||Gérard Perron|Social Credit
172||Gérald Laniel|Liberal
173||Herman E. Laverdière|Liberal
174||Rémi Paul|Progressive Conservative
175||Albert Béchard|Liberal
176||Heward Grafftey|Progressive Conservative
177||Milton L. Klein|Liberal
178||J.-E. Bernard Pilon|Liberal
179||Jean-Paul Matte|Liberal
180||Gérard Laprise|Social Credit
181||Louis-Philippe-Antoine Bélanger|Social Credit
182||Ian Watson|Liberal
183||Maurice Côté|Social Credit
184||Henry P. Latulippe|Social Credit
185||Guy Rouleau|Liberal
186||Pierre-André Boutin|Social Credit
187||Jean-Luc Pépin|Liberal
188||Alexandre Cyr|Liberal
189||Rodolphe Leduc|Liberal
190||Raymond Eudes|Liberal
191||Alexis Pierre Caron|Liberal
192||Maurice Sauvé|Liberal
193||Raymond Rock|Liberal
194||Louis-Joseph Pigeon|Progressive Conservative
195||Charles-Eugène Dionne|Social Credit
196||Gérard Girouard|Social Credit
197||Marcel Lessard|Social Credit
198||Georges-C. Lachance|Liberal
199||Gilles Grégoire|Social Credit
200||Lionel Chevrier (resigned 27 December 1963)|Liberal
201||Jean-Léo Rochon|Liberal
202||Raynald Guay|Liberal
203||Jean-Pierre Côté|Liberal
204||Auguste Choquette|Liberal
205||Jean-Paul Deschatelets|Liberal
206||René Tremblay|Liberal
207||Raymond Langlois|Social Credit
208||Prosper Boulanger|Liberal
209||Jean-Charles Richard Berger|Liberal
210||Alan Aylesworth Macnaughton|Liberal
211||Clément Vincent|Progressive Conservative
212||Edmund Tobin Asselin|Liberal
213||Maurice Lamontagne|Liberal
214||Guy Favreau|Liberal
215||Paul Raymond Martineau|Progressive Conservative
216||Jean-Louis Frenette|Social Credit
217||Guy Marcoux|Social Credit
218||Jean Robert Beaulé|Social Credit
219||Jean-Charles Cantin|Liberal
220||Lucien Plourde|Social Credit
221||Lucien Cardin|Liberal
222||Joseph Patrick Tobin Asselin|Liberal
223||Gérard Ouellet|Social Credit
224||Rosaire Gendron|Liberal
225||Charles-Arthur Gauthier|Social Credit
226||Gustave Blouin|Liberal
227||Gérard Loiselle|Liberal
228||Charles (Bud) Drury|Liberal
229||Azellus Denis (resigned 27 December 1963)|Liberal
230||H.-Pit Lessard|Liberal
231||Théogène Ricard|Progressive Conservative
232||Maurice Rinfret|Liberal
233||Yvon Dupuis|Liberal
234||John Turner|Liberal
235||Georges Valade|Progressive Conservative
236||Jean Chrétien|Liberal
237||Gilbert F. Rondeau|Social Credit
238||Gérard Chapdelaine|Social Credit
239||Yves Forest|Liberal
240||Léo Cadieux|Liberal
241||Léon Balcer|Progressive Conservative
242||René Émard|Liberal
243||Bryce Mackasey|Liberal
244||Réal Caouette|Social Credit
245||Lawrence E. Watson|Progressive Conservative
246||Reynold Rapp|Progressive Conservative
247||Reg Cantelon|Progressive Conservative
248||Stanley Korchinski|Progressive Conservative
249||Bert Cadieu|Progressive Conservative
250||James Norris Ormiston|Progressive Conservative
251||James Ernest Pascoe|Progressive Conservative
252||Richard Russell Southam|Progressive Conservative
253||John Diefenbaker|Progressive Conservative
254||Alvin Hamilton|Progressive Conservative
255||Ken More|Progressive Conservative
256||Clarence Owen Cooper|Progressive Conservative
257||Edward Nasserden|Progressive Conservative
258||Henry Frank Jones (died 4 March 1964)|Progressive Conservative
259||Jack McIntosh|Progressive Conservative
260||Albert Ralph Horner|Progressive Conservative
261||Gordon Drummond Clancy|Progressive Conservative
262||Erik Nielsen|Progressive Conservative
