|location|name|party
0|Bonavista—Trinity—Conception|Dave Rooney|Liberal
1|Burin—St. George's|Roger Simmons|Liberal
2|Gander—Twillingate|George Baker|Liberal
3|Grand Falls—White Bay—Labrador|Bill Rompkey|Liberal
4|Humber—Port au Port—St. Barbe|Brian Tobin|Liberal
5|St. John's East|James McGrath|Progressive Conservative
6|St. John's West|John Crosbie|Progressive Conservative
7|Cardigan|"Daniel J. MacDonald
to September 30, 1980 (death)"|Liberal
8|Egmont|George Henderson|Liberal
9|Hillsborough|Thomas McMillan|Progressive Conservative
10|Malpeque|Melbourne Gass|Progressive Conservative
11|Annapolis Valley—Hants|Pat Nowlan|Progressive Conservative
12|Cape Breton Highlands—Canso|Allan MacEachen|Liberal
13|Cape Breton—East Richmond|David Dingwall|Liberal
14|Cape Breton—The Sydneys|Russell MacLellan|Liberal
15|Central Nova|Elmer MacKay|Progressive Conservative
16|Cumberland—Colchester|Robert Coates|Progressive Conservative
17|Dartmouth—Halifax East|Michael Forrestall|Progressive Conservative
18|Halifax|Gerald Regan|Liberal
19|Halifax West|Howard Crosby|Progressive Conservative
20|South Shore|Lloyd Crouse|Progressive Conservative
21|South Western Nova|Coline Campbell|Liberal
22|Carleton—Charlotte|Fred McCain|Progressive Conservative
23|Fundy—Royal|Robert Corbett|Progressive Conservative
24|Gloucester|Herb Breau|Liberal
25|Madawaska—Victoria|Eymard Corbin|Liberal
26|Moncton|Gary McCauley|Liberal
27|Northumberland—Miramichi|Maurice Dionne|Liberal
28|Restigouche|Maurice Harquail|Liberal
29|Saint John|Mike Landers|Liberal
30|Westmorland—Kent|Roméo LeBlanc|Liberal
31|York—Sunbury|J. Robert Howie|Progressive Conservative
32|Abitibi|René Gingras|Liberal
33|Argenteuil|Robert Gourd|Liberal
34|Beauce|Normand Lapointe|Liberal
35|Beauharnois–Salaberry|Gérald Laniel|Liberal
36|Bellechasse|Alain Garant|Liberal
37|Berthier–Maskinongé|Antonio Yanakis|Liberal
38|Blainville–Deux-Montagnes|Francis Fox|Liberal
39|Bonaventure–Îles-de-la-Madeleine|Joseph Bujold|Liberal
40|Bourassa|Carlo Rossi|Liberal
41|Chambly|Raymond Dupont|Liberal
42|Champlain|Michel Veillette|Liberal
43|Charlesbourg|Pierre Bussières|Liberal
44|Charlevoix|Charles Lapointe|Liberal
45|Châteauguay|Ian Watson|Liberal
46|Chicoutimi|Marcel Dionne|Liberal
47|Dollard|Louis Desmarais|Liberal
48|Drummond|Yvon Pinard|Liberal
49|Duvernay|Yves Demers|Liberal
50|Frontenac|Léopold Corriveau|Liberal
51|Gamelin|Arthur Portelance|Liberal
52|Gaspé|Alexander Cyr|Liberal
53|Gatineau|René Cousineau|Liberal
54|Hochelaga–Maisonneuve|Serge Joyal|Liberal
55|Hull|Joseph Isabelle|Liberal
56|Joliette|Roch La Salle*|Progressive Conservative
57|Jonquière|Gilles Marceau|Liberal
58|Kamouraska—Rivière-du-Loup|Rosaire Gendron|Liberal
59|Labelle|Maurice Dupras|Liberal
60|Lac-Saint-Jean|Pierre Gimaïel|Liberal
61|Lachine|Roderick Blaker|Liberal
62|Langelier|J. Gilles Lamontagne|Liberal
63|La Prairie|Pierre Deniger|Liberal
64|Lasalle|John Campbell|Liberal
65|Laurier|David Berger|Liberal
66|Laval|Marcel-Claude Roy|Liberal
67|Laval-des-Rapides|Jeanne Sauvé|Liberal
68|Lévis|Raynald Guay|Liberal
69|Longueuil|Joseph Mario Jacques Olivier|Liberal
70|Lotbiniere|Jean-Guy Dubois|Liberal
