|location|name|party
71|Louis-Hébert|Dennis Dawson|Liberal
72|Manicouagan|André Maltais|Liberal
73|Matapédia–Matane|Pierre de Bané|Liberal
74|Mégantic–Compton–Stanstead|Claude Tessier|Liberal
75|Mercier|Céline Hervieux-Payette|Liberal
76|Missisquoi|André Bachand|Liberal
77|Montmorency|Louis Duclos|Liberal
78|Mount Royal|Pierre Trudeau|Liberal
79|Notre-Dame-de-Grâce|Warren Allmand|Liberal
80|Outremont|Marc Lalonde|Liberal
81|Papineau|André Ouellet|Liberal
82|Pontiac-Gatineau-Labelle|Thomas Lefebvre|Liberal
83|Portneuf|Rolland Dion|Liberal
84|Québec-Est|Gérard Duquet|Liberal
85|Richelieu|Jean-Louis Leduc|Liberal
86|Richmond|Alain Tardif|Liberal
87|Rimouski|Eva Côté|Liberal
88|Roberval|Suzanne Beauchamp-Niquet|Liberal
89|Rosemont|Claude-André Lachance|Liberal
90|Saint-Denis|Marcel Prud'homme|Liberal
91|Saint-Henri–Westmount|Don Johnston|Liberal
92|Saint-Hyacinthe|Marcel Ostiguy|Liberal
93|Saint-Jacques|Jacques Guilbault|Liberal
94|Saint-Jean|Paul-André Massé|Liberal
95|Saint-Léonard–Anjou|Monique Bégin|Liberal
96|Saint-Maurice|Jean Chrétien|Liberal
97|Saint-Michel|Marie Thérèse Killens|Liberal
98|Sainte-Marie|Jean-Claude Malépart|Liberal
99|Shefford|Jean Lapierre|Liberal
100|Sherbrooke|Irénée Pelletier|Liberal
101|Témiscamingue|Henri Tousignant|Liberal
102|Terrebonne|Joseph-Roland Comtois|Liberal
103|Trois-Rivières|Claude G. Lajoie|Liberal
104|Vaudreuil|Harold Herbert|Liberal
105|Verchères|Bernard Pierre Loiselle|Liberal
106|Verdun|Pierre Savard|Liberal
107|Algoma|Maurice Foster|Liberal
108|Beaches|Neil Young|New Democrat
109|Brampton—Georgetown|John McDermid|Progressive Conservative
110|Brant|Derek Blackburn|New Democrat
111|Broadview—Greenwood|Bob Rae|New Democrat
112|Bruce—Grey|Gary Gurbin|Progressive Conservative
113|Burlington|Bill Kempling|Progressive Conservative
114|Cambridge|Chris Speyer|Progressive Conservative
115|Cochrane|Keith Penner|Liberal
116|Davenport|Charles Caccia|Liberal
117|Don Valley East|David Smith|Liberal
118|Don Valley West|John Bosley|Progressive Conservative
119|Durham—Northumberland|Allan Lawrence|Progressive Conservative
120|Eglinton—Lawrence|Roland de Corneille|Liberal
121|Elgin|John Wise|Progressive Conservative
122|Erie|Girve Fretz|Progressive Conservative
123|Essex—Kent|Robert Daudlin|Liberal
124|Essex—Windsor|Eugene Whelan|Liberal
125|Etobicoke Centre|Michael Wilson|Progressive Conservative
126|Etobicoke North|Roy MacLaren|Liberal
127|Etobicoke—Lakeshore|Ken Robinson|Liberal
128|Glengarry—Prescott—Russell|Denis Éthier|Liberal
129|Grey—Simcoe|Gus Mitges|Progressive Conservative
130|Guelph|James Schroder|Liberal
131|Haldimand—Norfolk|Bud Bradley|Progressive Conservative
132|Halton|Otto Jelinek|Progressive Conservative
133|Hamilton East|John Carr Munro|Liberal
134|Hamilton Mountain|Ian Deans|New Democrat
135|Hamilton—Wentworth|Geoffrey Scott|Progressive Conservative
136|Hamilton West|Lincoln Alexander|Progressive Conservative
137|Hastings—Frontenac|William Vankoughnet|Progressive Conservative
138|Huron—Bruce|Murray Cardiff|Progressive Conservative
139|Kenora—Rainy River|John Mercer Reid|Liberal
140|Kent|Maurice Bossy|Liberal
141|Kingston and the Islands|Flora MacDonald|Progressive Conservative
142|Kitchener|Peter Lang|Liberal
143|Lambton—Middlesex|Ralph Ferguson|Liberal
144|Lanark—Renfrew—Carleton|Paul Dick|Progressive Conservative
145|Leeds—Grenville|Thomas Cossitt|Progressive Conservative
146|Lincoln|Bryce Mackasey|Liberal
147|London East|Charles Turner|Liberal
148|London West|Judd Buchanan|Liberal
149|London—Middlesex|Garnet Bloomfield|Liberal
150|Mississauga North|Douglas Fisher|Liberal
151|Mississauga South|Donald Blenkarn|Progressive Conservative
152|Nepean—Carleton|Walter Baker|Progressive Conservative
153|Niagara Falls|Al MacBain|Liberal
154|Nickel Belt|Judy Erola|Liberal
155|Nipissing|Jean-Jacques Blais|Liberal
156|Northumberland|George Hees|Progressive Conservative
157|Ontario|Thomas Fennell|Progressive Conservative
158|Oshawa|Ed Broadbent|New Democrat
159|Ottawa—Carleton|Jean-Luc Pépin|Liberal
160|Ottawa Centre|John Evans|Liberal
161|Ottawa West|Cyril Lloyd Francis|Liberal
162|Ottawa—Vanier|Jean-Robert Gauthier|Liberal
163|Oxford|Bruce Halliday|Progressive Conservative
164|Parkdale—High Park|Jesse Flis|Liberal
165|Parry Sound—Muskoka|Stan Darling|Progressive Conservative
166|Perth|William Jarvis|Progressive Conservative
167|Peterborough|Bill Domm|Progressive Conservative
168|Prince Edward—Hastings|Jack Ellis|Progressive Conservative
169|Renfrew—Nipissing—Pembroke|Len Hopkins|Liberal
170|Rosedale|David Crombie|Progressive Conservative
171|Sarnia|Bud Cullen|Liberal
172|Sault Ste. Marie|Ron Irwin|Liberal
173|Scarborough Centre|Norm Kelly|Liberal
174|Scarborough East|Gordon Gilchrist|Progressive Conservative
175|Scarborough West|David Weatherhead|Liberal
176|Simcoe North|Doug Lewis|Progressive Conservative
177|Simcoe South|Ronald Stewart|Progressive Conservative
178|Spadina|Peter Stollery|Liberal
179|St. Catharines|Joseph Reid|Progressive Conservative
180|St. Paul's|John Roberts|Liberal
181|Stormont—Dundas|Ed Lumley|Liberal
182|Sudbury|Douglas Frith|Liberal
183|Thunder Bay—Atikokan|Paul McRae|Liberal
184|Thunder Bay—Nipigon|Jack Masters|Liberal
185|Timiskaming|Bruce Lonsdale|Liberal
186|Timmins—Chapleau|Ray Chénier|Liberal
187|Trinity|Aideen Nicholson|Liberal
188|Victoria—Haliburton|William Scott|Progressive Conservative
189|Waterloo|Walter Maclean|Progressive Conservative
190|Welland|Gilbert Parent|Liberal
191|Wellington—Dufferin—Simcoe|Perrin Beatty|Progressive Conservative
192|Willowdale|Jim Peterson|Liberal
193|Windsor West|Herb Gray|Liberal
194|Windsor—Walkerville|Mark MacGuigan|Liberal
195|York Centre|Bob Kaplan|Liberal
196|York East|David Collenette|Liberal
197|York North|John A. Gamble|Progressive Conservative
198|York—Scarborough|Paul Cosgrove|Liberal
199|York South—Weston|Ursula Appolloni|Liberal
200|York—Peel|Sinclair Stevens|Progressive Conservative
201|York West|James Fleming|Liberal
202|Brandon—Souris|Walter Dinsdale|Progressive Conservative
203|Churchill|Rodney Murphy|New Democrat
204|Dauphin|Laverne Lewycky|New Democrat
205|Lisgar|Jack Murta|Progressive Conservative
206|Portage—Marquette|Charles Mayer|Progressive Conservative
207|Provencher|Jake Epp|Progressive Conservative
208|Selkirk—Interlake|Terry Sargeant|New Democrat
209|St. Boniface|Robert Bockstael|Liberal
210|Winnipeg North|David Orlikow|New Democrat
211|Winnipeg North Centre|Stanley Knowles|New Democrat
212|Winnipeg—Assiniboine|Dan McKenzie|Progressive Conservative
213|Winnipeg—Birds Hill|Bill Blaikie|New Democrat
214|Winnipeg—Fort Garry|Lloyd Axworthy|Liberal
215|Winnipeg—St. James|Cyril Keeper|New Democrat
216|Assiniboia|Leonard Gustafson|Progressive Conservative
217|Humboldt—Lake Centre|Vic Althouse|New Democrat
218|Kindersley—Lloydminster|Bill McKnight|Progressive Conservative
219|Mackenzie|Stanley Korchinski|Progressive Conservative
220|Moose Jaw|Douglas Neil|Progressive Conservative
221|Prince Albert|Stan Hovdebo|New Democrat
222|Qu'Appelle—Moose Mountain|Alvin Hamilton|Progressive Conservative
223|Regina East|Simon De Jong|New Democrat
224|Regina West|Les Benjamin|New Democrat
225|Saskatoon East|Robert Ogle|New Democrat
226|Saskatoon West|Ray Hnatyshyn|Progressive Conservative
227|Swift Current—Maple Creek|Frank Hamilton|Progressive Conservative
228|The Battlefords—Meadow Lake|Douglas Anguish|New Democrat
229|Yorkton—Melville|Lorne Nystrom|New Democrat
230|Athabasca|Jack Shields|Progressive Conservative
231|Bow River|Gordon Taylor|Progressive Conservative
232|Calgary Centre|Harvie Andre|Progressive Conservative
233|Calgary East|John Kushner|Progressive Conservative
234|Calgary North|Frederick Wright|Progressive Conservative
235|Calgary South|John Thomson|Progressive Conservative
236|Calgary West|Jim Hawkes|Progressive Conservative
237|Crowfoot|Arnold Malone|Progressive Conservative
238|Edmonton East|William Yurko|Progressive Conservative to January 29, 1982
239|Edmonton North|Steve Paproski|Progressive Conservative
240|Edmonton South|Douglas Roche|Progressive Conservative
241|Edmonton West|Marcel Lambert|Progressive Conservative
242|Edmonton—Strathcona|David Kilgour|Progressive Conservative
243|Lethbridge—Foothills|Blaine Thacker|Progressive Conservative
244|Medicine Hat|Bert Hargrave|Progressive Conservative
245|Peace River|Albert Cooper|Progressive Conservative
246|Pembina|Peter Elzinga|Progressive Conservative
247|Red Deer|Gordon Towers|Progressive Conservative
248|Vegreville|Don Mazankowski|Progressive Conservative
249|Wetaskiwin|Kenneth Schellenberger|Progressive Conservative
250|Yellowhead|Joe Clark|Progressive Conservative
251|Burnaby|Svend Robinson|New Democrat
252|Capilano|Ron Huntington|Progressive Conservative
253|Cariboo—Chilcotin|Lorne Greenaway|Progressive Conservative
254|Comox—Powell River|Raymond Skelly|New Democrat
255|Cowichan—Malahat—The Islands|James Manly|New Democrat
256|Esquimalt—Saanich|Donald Munro|Progressive Conservative
257|Fraser Valley East|Alexander Patterson|Progressive Conservative
258|Fraser Valley West|Robert Wenman|Progressive Conservative
259|Kamloops—Shuswap|Nelson Riis|New Democrat
260|Kootenay East—Revelstoke|Sid Parker|New Democrat
261|Kootenay West|Lyle Kristiansen|New Democrat
262|Mission—Port Moody|Mark Rose|New Democrat
263|Nanaimo—Alberni|Edward Miller|New Democrat
264|New Westminster—Coquitlam|Pauline Jewett|New Democrat
265|North Vancouver—Burnaby|Chuck Cook|Progressive Conservative
266|Okanagan North|Vincent Dantzer|Progressive Conservative
267|Okanagan—Similkameen|Frederick King|Progressive Conservative
268|Prince George—Bulkley Valley|Robert McCuish|Progressive Conservative
269|Prince George—Peace River|Frank Oberle, Sr.|Progressive Conservative
270|Richmond—South Delta|Tom Siddon|Progressive Conservative
271|Skeena|James Fulton|New Democrat
272|Surrey—White Rock—North Delta|Benno Friesen|Progressive Conservative
273|Vancouver Centre|Pat Carney|Progressive Conservative
274|Vancouver East|Margaret Ann Mitchell|New Democrat
275|Vancouver Kingsway|Ian Waddell|New Democrat
276|Vancouver Quadra|Bill Clarke|Progressive Conservative
277|Vancouver South|John Fraser|Progressive Conservative
278|Victoria|Allan McKinnon|Progressive Conservative
279|Nunatsiaq|Peter Ittinuar|New Democrat to November 26, 1982
280|Western Arctic|Dave Nickerson|Progressive Conservative
281|Yukon|Erik Nielsen|Progressive Conservative
