|location|name|party
0|Bonavista—Trinity—Conception|Fred Mifflin|Liberal
1|Burin—St. George's|Roger Simmons|Liberal
2|Gander—Grand-Falls|George S. Baker|Liberal
3|Humber—St. Barbe—Baie Verte|Brian Tobin|Liberal
4|Labrador|Bill Rompkey|Liberal
5|St. John's East|Bonnie Hickey|Liberal
6|St. John's West|Jean Payne|Liberal
7|Cardigan|Lawrence MacAulay|Liberal
8|Egmont|Joe McGuire|Liberal
9|Hillsborough|George Proud|Liberal
10|Malpeque|Wayne Easter|Liberal
11|Annapolis Valley—Hants|John Murphy|Liberal
12|Cape Breton Highlands—Canso|Francis LeBlanc|Liberal
13|Cape Breton—East Richmond|David Dingwall|Liberal
14|Cape Breton—The Sydneys|Russell MacLellan|Liberal
15|Central Nova|Roseanne Skoke|Liberal
16|Cumberland—Colchester|Dianne Brushett|Liberal
17|Dartmouth|Ron MacDonald|Liberal
18|Halifax|Mary Clancy|Liberal
19|Halifax West|Geoff Regan|Liberal
20|South Shore|Derek Wells|Liberal
21|South West Nova|Harry Verran|Liberal
22|Acadie—Bathurst|Doug Young|Liberal
23|Beauséjour|Fernand Robichaud|Liberal
24|Carleton—Charlotte|Harold Culbert|Liberal
25|Fredericton—York—Sunbury|Andy Scott|Liberal
26|Fundy—Royal|Paul Zed|Liberal
27|Madawaska—Victoria|Pierrette Ringuette-Maltais|Liberal
28|Miramichi|Charles Hubbard|Liberal
29|Moncton|George Rideout|Liberal
30|Restigouche—Chaleur|Guy Arseneault|Liberal
31|Saint John|Elsie Wayne|Progressive Conservative
32|Abitibi|Bernard Deshaies|Bloc Québécois
33|Ahuntsic|Michel Daviault|Bloc Québécois
34|Anjou—Rivière-des-Prairies|Roger Pomerleau|Bloc Québécois
35|Argenteuil—Papineau|Maurice Dumas|Bloc Québécois
36|Beauce|Gilles Bernier|Independent
37|Beauharnois—Salaberry|Laurent Lavigne|Bloc Québécois
38|Beauport—Montmorency—Orléans|Michel Guimond|Bloc Québécois
39|Bellechasse|François Langlois|Bloc Québécois
40|Berthier—Montcalm|Michel Bellehumeur|Bloc Québécois
41|Blainville—Deux-Montagnes|Paul Mercier|Bloc Québécois
42|Bonaventure—Îles-de-la-Madeleine|Patrick Gagnon|Liberal
43|Bourassa|Osvaldo Nunez|Bloc Québécois
44|Brome—Missisquoi|Gaston Péloquin|Bloc Québécois
45|Chambly|Ghislain Lebel|Bloc Québécois
46|Champlain|Réjean Lefebvre|Bloc Québécois
47|Charlesbourg|Jean-Marc Jacob|Bloc Québécois
48|Charlevoix|Gérard Asselin|Bloc Québécois
49|Chateauguay|Maurice Godin|Bloc Québécois
50|Chicoutimi|Gilbert Fillion|Bloc Québécois
51|Drummond|Pauline Picard|Bloc Québécois
52|Frontenac|Jean-Guy Chrétien|Bloc Québécois
53|Gaspé|Yvan Bernier|Bloc Québécois
54|Gatineau—La Lièvre|Mark Assad|Liberal
55|Hochelaga—Maisonneuve|Réal Ménard|Bloc Québécois
56|Hull—Aylmer|Marcel Massé|Liberal
57|Joliette|René Laurin|Bloc Québécois
58|Jonquière|André Caron|Bloc Québécois
59|Kamouraska—Rivière-du-Loup|Paul Crête|Bloc Québécois
60|La Prairie|Richard Bélisle|Bloc Québécois
61|Lac-Saint-Jean|Lucien Bouchard|Bloc Québécois
62|Lachine—Lac-Saint-Louis|Clifford Lincoln|Liberal
63|LaSalle—Émard|Paul Martin|Liberal
64|Laurentides|Monique Guay|Bloc Québécois
65|Laurier—Sainte-Marie|Gilles Duceppe|Bloc Québécois
66|Laval Centre|Madeleine Dalphond-Guiral|Bloc Québécois
67|Laval East|Maud Debien|Bloc Québécois
68|Laval West|Michel Dupuy|Liberal
69|Lévis|Antoine Dubé|Bloc Québécois
70|Longueuil|Nic Leblanc|Bloc Québécois
71|Lotbinière|Jean Landry|Bloc Québécois
72|Louis-Hébert|Philippe Paré|Bloc Québécois
73|Manicouagan|Bernard St-Laurent|Bloc Québécois
74|Matapédia—Matane|René Canuel|Bloc Québécois
75|Mégantic—Compton—Stanstead|Maurice Bernier|Bloc Québécois
76|Mercier|Francine Lalonde|Bloc Québécois
77|Mount Royal|Sheila Finestone|Liberal
78|Notre-Dame-de-Grâce|Warren Allmand|Liberal
79|Outremont|Martin Cauchon|Liberal
80|Papineau—Saint-Michel|André Ouellet|Liberal
81|Pierrefonds—Dollard|Bernard Patry|Liberal
82|Pontiac—Gatineau—Labelle|Robert Bertrand|Liberal
83|Portneuf|Pierre de Savoye|Bloc Québécois
84|Québec|Christiane Gagnon|Bloc Québécois
