|location|name|party
0|Bonavista—Trinity—Conception|Fred Mifflin|Liberal
1|Burin—St. George's|Bill Matthews|Progressive Conservative then Liberal*
2|Gander—Grand-Falls|George S. Baker|Liberal
3|Humber—St. Barbe—Baie Verte|Gerry Byrne|Liberal
4|Labrador|Lawrence O'Brien|Liberal
5|St. John's East|Norman Doyle|Progressive Conservative
6|St. John's West|Charlie Power then Loyola Hearn**|Progressive Conservative
7|Cardigan|Lawrence MacAulay|Liberal
8|Egmont|Joe McGuire|Liberal
9|Hillsborough|George Proud|Liberal
10|Malpeque|Wayne Easter|Liberal
11|Bras d'Or|Michelle Dockrill|New Democrat
12|Cumberland—Colchester|Bill Casey|Progressive Conservative
13|Dartmouth|Wendy Lill|New Democrat
14|Halifax|Alexa McDonough|New Democrat
15|Halifax West|Gordon Earle|New Democrat
16|Kings—Hants|Scott Brison then Joe Clark*|Both Progressive Conservative
17|Pictou—Antigonish—Guysborough|Peter MacKay|Progressive Conservative
18|Sackville—Eastern Shore|Peter Stoffer|New Democrat
19|South Shore|Gerald Keddy|Progressive Conservative
20|Sydney—Victoria|Peter Mancini|New Democrat
21|West Nova|Mark Muise|Progressive Conservative
22|Acadie—Bathurst|Yvon Godin|New Democrat
23|Beauséjour—Petitcodiac|Angela Vautour|New Democrat then Progressive Conservative*
24|Charlotte|Greg Thompson|Progressive Conservative
25|Fredericton|Andy Scott|Liberal
26|Fundy—Royal|John Herron|Progressive Conservative
27|Madawaska—Restigouche|Jean F. Dubé|Progressive Conservative
28|Miramichi|Charles Hubbard|Liberal
29|Moncton|Claudette Bradshaw|Liberal
30|Saint John|Elsie Wayne|Progressive Conservative
31|Tobique—Mactaquac|Gilles Bernier|Progressive Conservative
32|Abitibi|Guy St-Julien|Liberal
33|Ahuntsic|Eleni Bakopanos|Liberal
34|Anjou—Rivière-Des-Prairies|Yvon Charbonneau|Liberal
35|Argenteuil—Papineau|Maurice Dumas|Bloc Québécois
36|Beauce|Claude Drouin|Liberal
37|Beauharnois—Salaberry|Daniel Turp|Bloc Québécois
38|Beauport—Montmorency—Orléans|Michel Guimond|Bloc Québécois
39|Bellechasse—Etchemins—Montmagny—L'Islet|Gilbert Normand|Liberal
40|Berthier—Montcalm|Michel Bellehumeur|Bloc Québécois
41|Bonaventure—Gaspé—Îles-de-la-Madeleine—Pabok|Yvan Bernier|Bloc Québécois
42|Bourassa|Denis Coderre|Liberal
43|Brome—Missisquoi|Denis Paradis|Liberal
44|Brossard—La Prairie|Jacques Saada|Liberal
45|Châteauguay|Maurice Godin|Bloc Québécois
46|Chambly|Ghislain Lebel|Bloc Québécois
47|Champlain|Réjean Lefebvre|Bloc Québécois then Independent*
48|Charlesbourg|Richard Marceau|Bloc Québécois
49|Charlevoix|Gérard Asselin|Bloc Québécois
50|Chicoutimi|André Harvey|Progressive Conservative then Liberal**
51|Compton—Stanstead|David Price|Progressive Conservative then Liberal**
52|Drummond|Pauline Picard|Bloc Québécois
53|Frontenac—Mégantic|Jean-Guy Chrétien|Bloc Québécois
54|Gatineau|Mark Assad|Liberal
