|name|party|location
0|David Chatters|Canadian Alliance|Athabasca
1|Joe Clarka|PC|Calgary Centre
2|Deepak Obhrai|Canadian Alliance|Calgary East
3|Art Hanger|Canadian Alliance|Calgary Northeast
4|Diane Ablonczy|Canadian Alliance|Calgary—Nose Hill
5|Jason Kenney|Canadian Alliance|Calgary Southeast
6|Preston Manning|Canadian Alliance|Calgary Southwest
7|Rob Anders|Canadian Alliance|Calgary West
8|Kevin Sorenson|Canadian Alliance|Crowfoot
9|Peter Goldring|Canadian Alliance|Edmonton Centre-East
10|Deborah Grey|Canadian Alliance|Edmonton North
11|Rahim Jaffer|Canadian Alliance|Edmonton—Strathcona
12|David Kilgour|Liberal|Edmonton Southeast
13|James Rajotte|Canadian Alliance|Edmonton Southwest
14|Anne McLellan|Liberal|Edmonton West
15|Ken Epp|Canadian Alliance|Elk Island
16|Leon Benoit|Canadian Alliance|Lakeland
17|Rick Casson|Canadian Alliance|Lethbridge
18|Grant Hill|Canadian Alliance|Macleod
19|Monte Solberg|Canadian Alliance|Medicine Hat
20|Charlie Penson|Canadian Alliance|Peace River
21|Bob Mills|Canadian Alliance|Red Deer
22|John Williams|Canadian Alliance|St. Albert
23|Dale Johnston|Canadian Alliance|Wetaskiwin
24|Myron Thompson|Canadian Alliance|Wild Rose
25|Rob Merrifield|Canadian Alliance|Yellowhead
26|Svend Robinson|NDP|Burnaby—Douglas
27|Philip Mayfield|Canadian Alliance|Cariboo—Chilcotin
28|John Cummins|Canadian Alliance|Delta—South Richmond
29|Grant McNally|Canadian Alliance|Dewdney—Alouette
30|Keith Martin|Canadian Alliance|Esquimalt—Juan de Fuca
31|Chuck Strahl|Canadian Alliance|Fraser Valley
32|Betty Hinton|Canadian Alliance|Kamloops, Thompson and Highland Valleys
33|Werner Schmidt|Canadian Alliance|Kelowna
34|Jim Gouk|Canadian Alliance|Kootenay—Boundary—Okanagan
35|Jim Abbott|Canadian Alliance|Kootenay—Columbia
36|Randy White|Canadian Alliance|Langley—Abbotsford
37|James Lunney|Canadian Alliance|Nanaimo—Alberni
38|Reed Elley|Canadian Alliance|Nanaimo—Cowichan
39|Paul Forseth|Canadian Alliance|New Westminster—Coquitlam—Burnaby
40|Ted White|Canadian Alliance|North Vancouver
41|Stockwell Dayc|Canadian Alliance|Okanagan—Coquihalla
42|Darrel Stinson|Canadian Alliance|Okanagan—Shuswap
43|James Moore|Canadian Alliance|Port Moody—Coquitlam—Port Coquitlam
44|Richard Harris|Canadian Alliance|Prince George–Bulkley Valley
45|Jay Hill|Canadian Alliance|Prince George—Peace River
46|Joe Peschisolido|Canadian Alliance|Richmond
47|Gary Lunn|Canadian Alliance|Saanich—Gulf Islands
48|Andy Burton|Canadian Alliance|Skeena
49|Val Meredith|Canadian Alliance|South Surrey—White Rock—Langley
50|Gurmant Grewal|Canadian Alliance|Surrey Central
51|Chuck Cadman|Canadian Alliance|Surrey North
52|Hedy Fry|Liberal|Vancouver Centre
53|Libby Davies|NDP|Vancouver East
54|John Duncan|Canadian Alliance|Vancouver Island North
55|Sophia Leung|Liberal|Vancouver Kingsway
56|Stephen Owen|Liberal|Vancouver Quadra
57|Herb Dhaliwal|Liberal|Vancouver South—Burnaby
58|David Anderson|Liberal|Victoria
59|John Reynoldsd|Canadian Alliance|West Vancouver—Sunshine Coast
60|Rick Borotsik|PC|Brandon—Souris
61|John Harvard|Liberal|Charleswood St. James—Assiniboia
62|Bev Desjarlais|NDP|Churchill
63|Inky Mark|Canadian Alliance|Dauphin—Swan River
64|Vic Toews|Canadian Alliance|Provencher
65|Brian Pallister|Canadian Alliance|Portage—Lisgar
66|Ronald Duhamel|Liberal|Saint Boniface
67|Howard Hilstrom|Canadian Alliance|Selkirk—Interlake
68|Pat Martin|NDP|Winnipeg Centre
69|Judy Wasylycia-Leis|NDP|Winnipeg North Centre
70|Rey Pagtakhan|Liberal|Winnipeg North—St. Paul
71|Reg Alcock|Liberal|Winnipeg South
72|Anita Neville|Liberal|Winnipeg South Centre
73|Bill Blaikie|NDP|Winnipeg—Transcona
74|Yvon Godin|NDP|Acadie—Bathurst
75|Dominic LeBlanc|Liberal|Beauséjour—Petitcodiac
76|Andy Scott|Liberal|Fredericton
77|John Herron|PC|Fundy—Royal
78|Jeannot Castonguay|Liberal|Madawaska—Restigouche
79|Charles Hubbard|Liberal|Miramichi
80|Claudette Bradshaw|Liberal|Moncton—Riverview—Dieppe
81|Greg Thompson|PC|New Brunswick Southwest
82|Elsie Wayne|PC|Saint John
83|Andy Savoy|Liberal|Tobique—Mactaquac
84|Brian Tobin|Liberal|Bonavista—Trinity—Conception
85|Bill Matthews|Liberal|Burin—St. George's
86|George S. Baker|Liberal|Gander—Grand-Falls
87|Gerry Byrne|Liberal|Humber—St. Barbe—Baie Verte
88|Lawrence O'Brien|Liberal|Labrador
89|Norman Doyle|PC|St. John's East
90|Loyola Hearn|PC|St. John's West
91|Rodger Cuzner|Liberal|Bras d'Or—Cape Breton
92|Bill Casey|PC|Cumberland—Colchester
93|Wendy Lill|NDP|Dartmouth
94|Alexa McDonoughe|NDP|Halifax
95|Geoff Regan|Liberal|Halifax West
96|Scott Brison|PC|Kings—Hants
97|Peter MacKayf|PC|Pictou—Antigonish—Guysborough
98|Peter Stoffer|NDP|Sackville—Musquodoboit Valley—Eastern Shore
99|Gerald Keddy|PC|South Shore
100|Mark Eyking|Liberal|Sydney—Victoria
101|Robert Thibault|Liberal|West Nova
102|Brent St. Denis|Liberal|Algoma—Manitoulin
103|John Bryden|Liberal|Ancaster—Dundas—Flamborough—Aldershot
104|Aileen Carroll|Liberal|Barrie—Simcoe—Bradford
105|Maria Minna|Liberal|Beaches—East York
106|Gurbax Malhi|Liberal|Bramalea—Gore—Malton—Springdale
107|Sarkis Assadourian|Liberal|Brampton Centre
108|Colleen Beaumier|Liberal|Brampton West—Mississauga
109|Jane Stewart|Liberal|Brant
110|Ovid Jackson|Liberal|Bruce—Grey—Owen Sound
111|Paddy Torsney|Liberal|Burlington
112|Janko Peric|Liberal|Cambridge
113|Jerry Pickard|Liberal|Chatham-Kent—Essex
114|Charles Caccia|Liberal|Davenport
115|David Collenette|Liberal|Don Valley East
116|John Godfrey|Liberal|Don Valley West
117|Murray Calder|Liberal|Dufferin—Peel—Wellington—Grey
118|Alex Shepherd|Liberal|Durham
119|Joe Volpe|Liberal|Eglinton—Lawrence
120|Gar Knutson|Liberal|Elgin—Middlesex—London
121|John Maloney|Liberal|Erie—Lincoln
122|Susan Whelan|Liberal|Essex
123|Allan Rock|Liberal|Etobicoke Centre
124|Jean Augustine|Liberal|Etobicoke—Lakeshore
125|Roy Cullen|Liberal|Etobicoke North
126|Don Boudria|Liberal|Glengarry—Prescott—Russell
127|Brenda Chamberlain|Liberal|Guelph—Wellington
