end|index_rows|location|name|parliament_number|party|start|sex
20112019|251|Beauport—Limoilou|Julie Vignola|43|Bloc Québécois|21102019|female
23052004|202|York North|Karen Kraft Sloan|37|Liberal|29012001|female
27041997|204|York—Simcoe|Karen Kraft Sloan|35|Liberal|17011994|female
22102000|207|York North|Karen Kraft Sloan|36|Liberal|22091997|female
11092019|97|New Brunswick Southwest|Karen Ludwig|42|Liberal|3122015|female
20112019|160|Kanata—Carleton|Karen McCrimmon|43|Liberal|21102019|female
11092019|160|Kanata—Carleton|Karen McCrimmon|42|Liberal|3122015|female
7092008|143|Kitchener Centre|Karen Redman|39|Liberal|3042006|female
29112005|142|Kitchener Centre|Karen Redman|38|Liberal|4102004|female
23052004|137|Kitchener Centre|Karen Redman|37|Liberal|29012001|female
22102000|143|Kitchener Centre|Karen Redman|36|Liberal|22091997|female
20112019|143|Elgin—Middlesex—London|Karen Vecchio|43|Conservative|21102019|female
11092019|143|Elgin—Middlesex—London|Karen Vecchio|42|Conservative|3122015|female
20112019|132|Burlington|Karina Gould|43|Liberal|21102019|female
11092019|132|Burlington|Karina Gould|42|Liberal|3122015|female
11092019|271|Jonquière|Karine Trudel|42|NDP|3122015|female
20112019|172|London West|Kate Young|43|Liberal|21102019|female
11092019|172|London West|Kate Young|42|Liberal|3122015|female
20112019|147|Etobicoke North|Kirsty Duncan|43|Liberal|21102019|female
2082015|130|Etobicoke North|Kirsty Duncan|41|Liberal|2062011|female
11092019|147|Etobicoke North|Kirsty Duncan|42|Liberal|3122015|female
26032011|130|Etobicoke North|Kirsty Duncan|40|Liberal|18112008|female
20112019|248|Avignon—La Mitis—Matane—Matapédia|Kristina Michaud|43|Bloc Québécois|21102019|female
20112019|74|Victoria|Laurel Collins|43|NDP|21102019|female
2082015|9|Edmonton Centre|Laurie Hawn|41|Conservative|2062011|female
7092008|250|Edmonton Centre|Laurie Hawn|39|Conservative|3042006|female
26032011|9|Edmonton Centre|Laurie Hawn|40|Conservative|18112008|female
2082015|273|Rivière-des-Mille-Îles|Laurin Liu|41|NDP|2062011|female
20112019|86|Winnipeg Centre|Leah Gazan|43|NDP|21102019|female
20112019|109|Cumberland—Colchester|Lenore Zann|43|Liberal|21102019|female
26032011|305|Nunavut|Leona Aglukkaq|40|Conservative|18112008|female
2082015|305|Nunavut|Leona Aglukkaq|41|Conservative|2062011|female
20112019|120|Aurora—Oak Ridges—Richmond Hill|Leona Alleslev|43|Conservative|21102019|female
11092019|120|Aurora—Oak Ridges—Richmond Hill|Leona Alleslev|42|Liberal|3122015|female
20112019|167|Lambton—Kent—Middlesex|Lianne Rood|43|Conservative|21102019|female
26032011|13|Edmonton—Strathcona|Linda Duncan|40|NDP|18112008|female
11092019|18|Edmonton Strathcona|Linda Duncan|42|NDP|3122015|female
2082015|13|Edmonton—Strathcona|Linda Duncan|41|NDP|2062011|female
11092019|304|Rivière-des-Mille-Îles|Linda Lapointe|42|Liberal|3122015|female
2082015|135|Halton|Lisa Raitt|41|Conservative|2062011|female
26032011|135|Halton|Lisa Raitt|40|Conservative|18112008|female
11092019|176|Milton|Lisa Raitt|42|Conservative|3122015|female
8091993|35|Argenteuil—Papineau|Lise Bourgault|34|Progressive Conservative|12121988|female
1101988|33|Progressive Conservative|Lise Bourgault|33|Argenteuil—Papineau|5111984|female
2082015|283|Saint-Maurice—Champlain|Lise St-Denis|41|NDP|2062011|female
26032011|246|LaSalle—Émard|Lise Zarac|40|Liberal|18112008|female
29112005|241|Jeanne-Le Ber|Liza Frulla|38|Liberal|4102004|female
2082015|158|Newmarket—Aurora|Lois Brown|41|Conservative|2062011|female
26032011|158|Newmarket—Aurora|Lois Brown|40|Conservative|18112008|female
20112019|316|Thérèse-De Blainville|Louise Chabot|43|Bloc Québécois|21102019|female
20112019|317|Trois-Rivières|Louise Charbonneau|43|Bloc Québécois|21102019|female
8091993|258|Wild Rose|Louise Feltham|34|Progressive Conservative|12121988|female
22102000|300|Yukon|Louise Hardy|36|New Democrat|22091997|female
7092008|88|Rimouski-Neigette—Témiscouata—Les Basques|Louise Thibault|39|Bloc Québécois|3042006|female
29112005|272|Rimouski-Neigette—Témiscouata—Les Basques|Louise Thibault|38|Bloc Québécois|4102004|female
1101988|81|Liberal|Lucie Pépin|33|Outremont|5111984|female
23052004|283|Westmount—Ville-Marie|Lucienne Robillard|37|Liberal|29012001|female
7092008|106|Westmount—Ville-Marie|Lucienne Robillard|39|Liberal|3042006|female
