end|index_rows|location|name|parliament_number|party|start|sex
20112019|250|Beauport—Côte-de-Beaupré—Île d'Orléans—Charlevoix|Caroline Desbiens|43|Bloc Québécois|21102019|female
23052004|247|Longueuil|Caroline St-Hilaire|37|Bloc Québécois|29012001|female
7092008|68|Longueuil—Pierre-Boucher|Caroline St-Hilaire|39|Bloc Québécois|3042006|female
29112005|252|Longueuil—Pierre-Boucher|Caroline St-Hilaire|38|Bloc Québécois|4102004|female
22102000|69|Longueuil|Caroline St-Hilaire|36|Bloc Québécois|22091997|female
29112005|191|St. Paul's|Carolyn Bennett|38|Liberal|4102004|female
7092008|192|St. Paul's|Carolyn Bennett|39|Liberal|3042006|female
23052004|183|St. Paul's|Carolyn Bennett|37|Liberal|29012001|female
20112019|227|Toronto—St. Paul's|Carolyn Bennett|43|Liberal|21102019|female
2082015|191|St. Paul's|Carolyn Bennett|41|Liberal|2062011|female
22102000|187|St. Paul's|Carolyn Bennett|36|Liberal|22091997|female
26032011|191|St. Paul's|Carolyn Bennett|40|Liberal|18112008|female
11092019|227|Toronto—St. Paul's|Carolyn Bennett|42|Liberal|3122015|female
27041997|155|Mississauga West|Carolyn Parrish|35|Liberal|17011994|female
29112005|154|Mississauga—Erindale|Carolyn Parrish|38|Liberal|4102004|female
23052004|147|Mississauga Centre|Carolyn Parrish|37|Liberal|29012001|female
22102000|152|Mississauga Centre|Carolyn Parrish|36|Liberal|22091997|female
7092008|299|Vancouver Island North|Catherine Bell|39|New Democrat|3042006|female
8091993|10|Malpeque|Catherine Callbeck|34|Liberal|12121988|female
20112019|195|Ottawa Centre|Catherine McKenna|43|Liberal|21102019|female
11092019|195|Ottawa Centre|Catherine McKenna|42|Liberal|3122015|female
20112019|47|Kamloops—Thompson—Cariboo|Cathy McLeod|43|Conservative|21102019|female
11092019|47|Kamloops—Thompson—Cariboo|Cathy McLeod|42|Conservative|3122015|female
26032011|37|Kamloops—Thompson—Cariboo|Cathy McLeod|40|Conservative|18112008|female
2082015|37|Kamloops—Thompson—Cariboo|Cathy McLeod|41|Conservative|2062011|female
11092019|232|Whitby|Celina Caesar-Chavannes|42|Liberal|3122015|female
2082015|286|Terrebonne—Blainville|Charmaine Borg|41|NDP|2062011|female
2082015|179|Renfrew—Nipissing—Pembroke|Cheryl Gallant|41|Conservative|2062011|female
29112005|179|Renfrew—Nipissing—Pembroke|Cheryl Gallant|38|Conservative|4102004|female
20112019|205|Renfrew—Nipissing—Pembroke|Cheryl Gallant|43|Conservative|21102019|female
23052004|172|Renfrew—Nipissing—Pembroke|Cheryl Gallant|37|Canadian Alliance|29012001|female
7092008|180|Renfrew—Nipissing—Pembroke|Cheryl Gallant|39|Conservative|3042006|female
26032011|179|Renfrew—Nipissing—Pembroke|Cheryl Gallant|40|Conservative|18112008|female
11092019|205|Renfrew—Nipissing—Pembroke|Cheryl Gallant|42|Conservative|3122015|female
11092019|234|Windsor—Tecumseh|Cheryl Hardcastle|42|NDP|3122015|female
23052004|260|Québec|Christiane Gagnon|37|Bloc Québécois|29012001|female
27041997|84|Québec|Christiane Gagnon|35|Bloc Québécois|17011994|female
7092008|85|Québec|Christiane Gagnon|39|Bloc Québécois|3042006|female
29112005|269|Québec|Christiane Gagnon|38|Bloc Québécois|4102004|female
26032011|269|Québec|Christiane Gagnon|40|Bloc Québécois|18112008|female
22102000|82|Quebec|Christiane Gagnon|36|Bloc Québécois|22091997|female
2082015|217|Abitibi—Témiscamingue|Christine Moore|41|NDP|2062011|female
11092019|244|Abitibi—Témiscamingue|Christine Moore|42|NDP|3122015|female
20112019|308|Saint-Jean|Christine Normandin|43|Bloc Québécois|21102019|female
27041997|160|Northumberland|Christine Stewart|35|Liberal|17011994|female
8091993|160|Northumberland|Christine Stewart|34|Liberal|12121988|female
22102000|161|Northumberland|Christine Stewart|36|Liberal|22091997|female
23052004|80|Moncton—Riverview—Dieppe|Claudette Bradshaw|37|Liberal|29012001|female
22102000|29|Moncton|Claudette Bradshaw|36|Liberal|22091997|female
29112005|84|Moncton—Riverview—Dieppe|Claudette Bradshaw|38|Liberal|4102004|female
1101988|54|Progressive Conservative|Claudy Mailly|33|Gatineau|5111984|female
8091993|21|South West Nova|Coline Campbell|34|Liberal|12121988|female
9071984|21|South Western Nova|Coline Campbell|32|Liberal|14041980|female
26031979|21|South Western Nova|Coline Campbell|30|Liberal|30091974|female
27041997|110|Brampton|Colleen Beaumier|35|Liberal|17011994|female
7092008|114|Brampton West|Colleen Beaumier|39|Liberal|3042006|female
29112005|113|Brampton West|Colleen Beaumier|38|Liberal|4102004|female
23052004|108|Brampton West—Mississauga|Colleen Beaumier|37|Liberal|29012001|female
22102000|112|Brampton West—Mississauga|Colleen Beaumier|36|Liberal|22091997|female
14121979|75|Mercier|Céline Hervieux-Payette|31|Liberal|9101979|female
9071984|75|Mercier|Céline Hervieux-Payette|32|Liberal|14041980|female
2082015|232|Chicoutimi—Le Fjord|Dany Morin|41|NDP|2062011|female
27041997|271|Mission—Coquitlam|Daphne Jennings|35|Reform|17011994|female
7092008|284|New Westminster—Coquitlam|Dawn Black|39|New Democrat|3042006|female
8091993|273|New Westminster—Burnaby|Dawn Black|34|New Democrat|12121988|female
26032011|43|New Westminster—Coquitlam|Dawn Black|40|NDP|18112008|female
19041962|10||Deane Gundlock|24|Progressive Conservative|12051958|female
8091965|10||Deane Gundlock|26|Progressive Conservative|16051963|female
1091972|230|Lethbridge|Deane Gundlock|28|Progressive Conservative|12091968|female
23041968|10||Deane Gundlock|27|Progressive Conservative|18011966|female
20112019|162|King—Vaughan|Deb Schulte|43|Liberal|21102019|female
11092019|162|King—Vaughan|Deb Schulte|42|Liberal|3122015|female
27041997|235|Beaver River|Deborah Grey|35|Reform|17011994|female
23052004|10|Edmonton North|Deborah Grey|37|Canadian Alliance|29012001|female
22102000|248|Edmonton North|Deborah Grey|36|Reform then Canadian Alliance*|22091997|female
29112005|231|Châteauguay—Saint-Constant|Denise Poirier-Rivard|38|Bloc Québécois|4102004|female
7092008|303|Victoria|Denise Savoie|39|New Democrat|3042006|female
26032011|62|Victoria|Denise Savoie|40|NDP|18112008|female
2082015|62|Victoria|Denise Savoie (until August 23, 2012)|41|NDP|2062011|female
27041997|237|Calgary North|Diane Ablonczy|35|Reform|17011994|female
2082015|4|Calgary—Nose Hill|Diane Ablonczy|41|Conservative|2062011|female
23052004|4|Calgary—Nose Hill|Diane Ablonczy|37|Canadian Alliance|29012001|female
29112005|5|Calgary—Nose Hill|Diane Ablonczy|38|Conservative|4102004|female
7092008|245|Calgary—Nose Hill|Diane Ablonczy|39|Conservative|3042006|female
26032011|4|Calgary—Nose Hill|Diane Ablonczy|40|Conservative|18112008|female
22102000|242|Calgary—Nose Hill|Diane Ablonczy|36|Reform then Canadian Alliance*|22091997|female
23052004|278|Terrebonne—Blainville|Diane Bourgeois|37|Bloc Québécois|29012001|female
7092008|102|Terrebonne—Blainville|Diane Bourgeois|39|Bloc Québécois|3042006|female
29112005|286|Terrebonne—Blainville|Diane Bourgeois|38|Bloc Québécois|4102004|female
26032011|286|Terrebonne—Blainville|Diane Bourgeois|40|Bloc Québécois|18112008|female
20112019|151|Haldimand—Norfolk|Diane Finley|43|Conservative|21102019|female
7092008|134|Haldimand—Norfolk|Diane Finley|39|Conservative|3042006|female
2082015|133|Haldimand—Norfolk|Diane Finley|41|Conservative|2062011|female
29112005|133|Haldimand—Norfolk|Diane Finley|38|Conservative|4102004|female
11092019|151|Haldimand—Norfolk|Diane Finley|42|Conservative|3122015|female
26032011|133|Haldimand—Norfolk|Diane Finley|40|Conservative|18112008|female
20112019|265|Gaspésie—Les Îles-de-la-Madeleine|Diane Lebouthillier|43|Liberal|21102019|female
11092019|265|Gaspésie—Les Îles-de-la-Madeleine|Diane Lebouthillier|42|Liberal|3122015|female
27041997|188|Sudbury|Diane Marleau|35|Liberal|17011994|female
